"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Denver Broncos",DEN,"vs. TEN","5 out of 5 stars","A+","9.0"
"2","Pittsburgh Steelers",PIT,"at NYJ","3 out of 5 stars","A","8.7"
"3","Arizona Cardinals",ARI,"at NO","4 out of 5 stars","A-","8.3"
"4","Philadelphia Eagles",PHI,"vs. DAL","4 out of 5 stars","A-","7.7"
"5","Minnesota Vikings",MIN,"at CHI","4 out of 5 stars","B+","7.6"
"6","Washington Commanders",WAS,"vs. NYG","5 out of 5 stars","B+","7.6"
"7","San Francisco 49ers",SF,"at SEA","4 out of 5 stars","B","7.5"
"8","Los Angeles Rams",LAR,"vs. HOU","4 out of 5 stars","B","7.3"
"9","New York Jets",NYJ,"vs. PIT","4 out of 5 stars","B-","7.2"
"10","Houston Texans",HOU,"at LAR","2 out of 5 stars","B-","7.1"
"11","Cincinnati Bengals",CIN,"at CLE","5 out of 5 stars","C+","6.9"
"12","New England Patriots",NE,"vs. LV","5 out of 5 stars","C+","6.7"
"13","Kansas City Chiefs",KC,"at LAC","2 out of 5 stars","C","6.7"
"14","Chicago Bears",CHI,"vs. MIN","3 out of 5 stars","C","6.6"
"15","Seattle Seahawks",SEA,"vs. SF","2 out of 5 stars","C-","6.5"
"16","Tampa Bay Buccaneers",TB,"at ATL","3 out of 5 stars","C-","6.5"
"17","Detroit Lions",DET,"at GB","1 out of 5 stars","D+","6.5"
"18","Miami Dolphins",MIA,"at IND","3 out of 5 stars","D+","6.3"
"19","Green Bay Packers",GB,"vs. DET","1 out of 5 stars","D+","6.3"
"20","Indianapolis Colts",IND,"vs. MIA","4 out of 5 stars","D","6.2"
"21","Jacksonville Jaguars",JAC,"vs. CAR","4 out of 5 stars","D","6.2"
"22","Los Angeles Chargers",LAC,"vs. KC","1 out of 5 stars","D-","6.0"
"23","Las Vegas Raiders",LV,"at NE","5 out of 5 stars","D-","5.9"
"24","Baltimore Ravens",BAL,"at BUF","1 out of 5 stars","F","5.9"
"25","New York Giants",NYG,"at WAS","1 out of 5 stars","F","5.8"
"26","Buffalo Bills",BUF,"vs. BAL","1 out of 5 stars","F","5.8"
"27","Cleveland Browns",CLE,"vs. CIN","3 out of 5 stars","F","5.8"
"28","New Orleans Saints",NO,"vs. ARI","3 out of 5 stars","F","5.4"
"29","Atlanta Falcons",ATL,"vs. TB","2 out of 5 stars","F","5.4"
"30","Carolina Panthers",CAR,"at JAC","4 out of 5 stars","F","5.3"
"31","Dallas Cowboys",DAL,"at PHI","2 out of 5 stars","F","5.1"
"32","Tennessee Titans",TEN,"at DEN","2 out of 5 stars","F","4.3"
