"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Denver Broncos",DEN,"vs. LV","5 out of 5 stars","A+","9.2"
"2","Seattle Seahawks",SEA,"vs. ARI","4 out of 5 stars","A","8.1"
"3","Houston Texans",HOU,"vs. JAC","3 out of 5 stars","A","7.9"
"4","Detroit Lions",DET,"at WAS","3 out of 5 stars","A","7.9"
"5","Buffalo Bills",BUF,"at MIA","5 out of 5 stars","A-","7.5"
"6","Los Angeles Rams",LAR,"at SF","3 out of 5 stars","B+","7.8"
"7","Cleveland Browns",CLE,"at NYJ","4 out of 5 stars","B+","7.4"
"8","Jacksonville Jaguars",JAC,"at HOU","3 out of 5 stars","B","7.3"
"9","New England Patriots",NE,"at TB","1 out of 5 stars","B","7.2"
"10","Carolina Panthers",CAR,"vs. NO","5 out of 5 stars","B-","6.9"
"11","Baltimore Ravens",BAL,"at MIN","5 out of 5 stars","B-","7.0"
"12","Chicago Bears",CHI,"vs. NYG","4 out of 5 stars","C+","6.8"
"13","Los Angeles Chargers",LAC,"vs. PIT","2 out of 5 stars","C","6.7"
"14","New York Jets",NYJ,"vs. CLE","5 out of 5 stars","C","6.3"
"15","Indianapolis Colts",IND,"vs. ATL","3 out of 5 stars","C","6.0"
"16","Atlanta Falcons",ATL,"at IND","1 out of 5 stars","C-","5.9"
"17","Pittsburgh Steelers",PIT,"at LAC","5 out of 5 stars","C-","5.8"
"18","Tampa Bay Buccaneers",TB,"vs. NE","3 out of 5 stars","D+","5.8"
"19","San Francisco 49ers",SF,"vs. LAR","1 out of 5 stars","D","5.8"
"20","New York Giants",NYG,"at CHI","1 out of 5 stars","D","5.7"
"21","Philadelphia Eagles",PHI,"at GB","1 out of 5 stars","D","5.6"
""
"22","Green Bay Packers",GB,"vs. PHI","2 out of 5 stars","D","5.5"
"23","New Orleans Saints",NO,"at CAR","5 out of 5 stars","D-","5.5"
"24","Arizona Cardinals",ARI,"at SEA","2 out of 5 stars","F","5.3"
"25","Minnesota Vikings",MIN,"vs. BAL","2 out of 5 stars","F","5.2"
"26","Las Vegas Raiders",LV,"at DEN","1 out of 5 stars","F","4.6"
"27","Washington Commanders",WAS,"vs. DET","1 out of 5 stars","F","4.4"
"28","Miami Dolphins",MIA,"vs. BUF","1 out of 5 stars","F","4.3"
