"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Josh Allen",BUF,"QB1","vs. NO","2 out of 5 stars"
"2","Lamar Jackson",BAL,"QB2","at KC","2 out of 5 stars"
"3","Christian McCaffrey",SF,"RB1","vs. JAC","3 out of 5 stars"
"4","Jalen Hurts",PHI,"QB3","at TB","4 out of 5 stars"
"5","Puka Nacua",LAR,"WR1","vs. IND","4 out of 5 stars"
"6","Justin Herbert",LAC,"QB4","at NYG","4 out of 5 stars"
"7","Caleb Williams",CHI,"QB5","at LV","3 out of 5 stars"
"8","Drake Maye",NE,"QB6","vs. CAR","5 out of 5 stars"
"9","Bijan Robinson",ATL,"RB2","vs. WAS","4 out of 5 stars"
"10","Jonathan Taylor",IND,"RB3","at LAR","3 out of 5 stars"
"11","Patrick Mahomes II",KC,"QB7","vs. BAL","3 out of 5 stars"
"12","Daniel Jones",IND,"QB8","at LAR","2 out of 5 stars"
"13","Saquon Barkley",PHI,"RB4","at TB","2 out of 5 stars"
"14","Jordan Love",GB,"QB9","at DAL","4 out of 5 stars"
"15","James Cook III",BUF,"RB5","vs. NO","4 out of 5 stars"
"16","Bo Nix",DEN,"QB10","vs. CIN","4 out of 5 stars"
"17","De'Von Achane",MIA,"RB6","vs. NYJ","2 out of 5 stars"
"18","Jaxon Smith-Njigba",SEA,"WR2","at ARI","4 out of 5 stars"
"19","Brock Purdy",SF,"QB11","vs. JAC","5 out of 5 stars"
"20","Jahmyr Gibbs",DET,"RB7","vs. CLE","4 out of 5 stars"
"21","Jared Goff",DET,"QB12","vs. CLE","4 out of 5 stars"
"22","Amon-Ra St. Brown",DET,"WR3","vs. CLE","4 out of 5 stars"
"23","Baker Mayfield",TB,"QB13","vs. PHI","2 out of 5 stars"
"24","Kyler Murray",ARI,"QB14","vs. SEA","2 out of 5 stars"
"25","Malik Nabers",NYG,"WR4","vs. LAC","3 out of 5 stars"
"26","Geno Smith",LV,"QB15","vs. CHI","3 out of 5 stars"
"27","Justin Jefferson",MIN,"WR5","at PIT","2 out of 5 stars"
"28","Josh Jacobs",GB,"RB8","at DAL","4 out of 5 stars"
"29","Matthew Stafford",LAR,"QB16","vs. IND","4 out of 5 stars"
"30","Nico Collins",HOU,"WR6","vs. TEN","3 out of 5 stars"
"31","Dak Prescott",DAL,"QB17","vs. GB","2 out of 5 stars"
"32","Derrick Henry",BAL,"RB9","at KC","2 out of 5 stars"
"33","Ja'Marr Chase",CIN,"WR7","at DEN","3 out of 5 stars"
"34","Bucky Irving",TB,"RB10","vs. PHI","2 out of 5 stars"
"35","C.J. Stroud",HOU,"QB18","vs. TEN","4 out of 5 stars"
"36","Sam Darnold",SEA,"QB19","at ARI","3 out of 5 stars"
"37","Michael Penix Jr.",ATL,"QB20","vs. WAS","4 out of 5 stars"
