"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. NYG","5 out of 5 stars","A","9.0"
"2","Cameron Dicker",LAC,"at LV","5 out of 5 stars","B+","8.6"
"3","Tyler Loop",BAL,"vs. CLE","1 out of 5 stars","B","8.6"
"4","Wil Lutz",DEN,"at IND","5 out of 5 stars","B","8.5"
"5","Ka'imi Fairbairn",HOU,"vs. TB","2 out of 5 stars","B-","8.4"
"6","Chris Boswell",PIT,"vs. SEA","1 out of 5 stars","C+","8.2"
"7","Jake Bates",DET,"vs. CHI","3 out of 5 stars","C+","8.2"
"8","Evan McPherson",CIN,"vs. JAC","3 out of 5 stars","C","8.1"
"9","Cam Little",JAC,"at CIN","5 out of 5 stars","C","7.9"
"10","Harrison Butker",KC,"vs. PHI","1 out of 5 stars","C","7.7"
"11","Jake Elliott",PHI,"at KC","1 out of 5 stars","C","7.6"
"12","Chase McLaughlin",TB,"at HOU","5 out of 5 stars","C","7.6"
"13","Will Reichard",MIN,"vs. ATL","5 out of 5 stars","C","7.4"
"14","Chad Ryland",ARI,"vs. CAR","5 out of 5 stars","C","7.3"
"15","Matt Prater",BUF,"at NYJ","5 out of 5 stars","C","7.3"
"16","Brandon McManus",GB,"vs. WAS","4 out of 5 stars","C-","7.3"
"17","Matt Gay",WAS,"at GB","1 out of 5 stars","C-","7.3"
"18","Joshua Karty",LAR,"at TEN","5 out of 5 stars","C-","7.1"
"19","Daniel Carlson",LV,"vs. LAC","1 out of 5 stars","D+","7.1"
"20","Jason Myers",SEA,"at PIT","1 out of 5 stars","D+","7.1"
"21","Cairo Santos",CHI,"at DET","1 out of 5 stars","D+","6.9"
"22","Spencer Shrader",IND,"vs. DEN","5 out of 5 stars","D+","6.9"
"23","Andy Borregales",NE,"at MIA","5 out of 5 stars","D","6.9"
"24","Eddy Pineiro",SF,"at NO","1 out of 5 stars","D","6.7"
"25","Riley Patterson",MIA,"vs. NE","1 out of 5 stars","D","6.7"
"26","Graham Gano",NYG,"at DAL","2 out of 5 stars","D","6.5"
"27","Blake Grupe",NO,"vs. SF","2 out of 5 stars","D-","6.5"
"28","Younghoe Koo",ATL,"at MIN","5 out of 5 stars","D","6.5"
"29","Parker Romo",ATL,"at MIN","5 out of 5 stars","D-","6.5"
"30","Joey Slye",TEN,"vs. LAR","4 out of 5 stars","D-","6.4"
"31","Nick Folk",NYJ,"vs. BUF","1 out of 5 stars","D-","6.2"
"32","Ryan Fitzgerald",CAR,"at ARI","5 out of 5 stars","F","5.7"
"33","Andre Szmyt",CLE,"at BAL","1 out of 5 stars","F","0.0"
"34","Jake Moody",CHI,"at DET","1 out of 5 stars","F","0.0"
"35","Jason Sanders",MIA,"vs. NE","1 out of 5 stars","F","0.0"
"36","Harrison Mevis",NYJ,"vs. BUF","1 out of 5 stars","F","0.0"
