"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"vs. ARI","4 out of 5 stars","A","9.0"
"2","Cameron Dicker",LAC,"at TEN","3 out of 5 stars","B+","8.8"
"3","Tyler Loop",BAL,"at MIA","4 out of 5 stars","B","8.7"
"4","Michael Badgley",IND,"at PIT","4 out of 5 stars","B-","8.6"
"5","Chris Boswell",PIT,"vs. IND","2 out of 5 stars","B-","8.3"
"6","Eddy Pineiro",SF,"at NYG","4 out of 5 stars","C+","8.3"
"7","Jake Bates",DET,"vs. MIN","3 out of 5 stars","C+","8.3"
"8","Joshua Karty",LAR,"vs. NO","4 out of 5 stars","C+","8.3"
"9","Harrison Butker",KC,"at BUF","2 out of 5 stars","C","8.0"
"10","Ka'imi Fairbairn",HOU,"vs. DEN","4 out of 5 stars","C","7.9"
"11","Cam Little",JAC,"at LV","3 out of 5 stars","C","7.8"
"12","Matt Prater",BUF,"vs. KC","1 out of 5 stars","C","7.7"
"13","Jason Myers",SEA,"at WAS","3 out of 5 stars","C","7.7"
"14","Cairo Santos",CHI,"at CIN","3 out of 5 stars","C","7.6"
"15","Chad Ryland",ARI,"at DAL","4 out of 5 stars","C","7.6"
"16","Wil Lutz",DEN,"at HOU","1 out of 5 stars","C","7.4"
"17","Evan McPherson",CIN,"vs. CHI","2 out of 5 stars","C","7.4"
"18","Andy Borregales",NE,"vs. ATL","4 out of 5 stars","C-","7.1"
"19","Brandon McManus",GB,"vs. CAR","3 out of 5 stars","C-","7.1"
"20","Will Reichard",MIN,"at DET","1 out of 5 stars","C-","7.0"
"21","Matt Gay",WAS,"vs. SEA","2 out of 5 stars","C-","6.9"
"22","Parker Romo",ATL,"at NE","2 out of 5 stars","D+","6.9"
"23","Joey Slye",TEN,"vs. LAC","3 out of 5 stars","D+","6.5"
"24","Blake Grupe",NO,"at LAR","3 out of 5 stars","D","6.5"
"25","Daniel Carlson",LV,"vs. JAC","1 out of 5 stars","D","6.1"
"26","Riley Patterson",MIA,"vs. BAL","4 out of 5 stars","D","6.5"
""
"27","Lucas Havrisik",GB,"vs. CAR","3 out of 5 stars","D","6.0"
"28","Ryan Fitzgerald",CAR,"at GB","4 out of 5 stars","D-","6.0"
"29","Graham Gano",NYG,"vs. SF","1 out of 5 stars","D-","1.4"
