"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"at NYJ","5 out of 5 stars","A","9.4"
"2","Spencer Shrader",IND,"vs. LV","5 out of 5 stars","B+","8.9"
"3","Matt Prater",BUF,"vs. NE","1 out of 5 stars","B","8.6"
"4","Cameron Dicker",LAC,"vs. WAS","2 out of 5 stars","B","8.4"
"5","Harrison Butker",KC,"at JAC","1 out of 5 stars","C+","8.2"
"6","Jake Bates",DET,"at CIN","3 out of 5 stars","B-","8.0"
"7","Jason Myers",SEA,"vs. TB","3 out of 5 stars","C+","7.7"
"8","Tyler Loop",BAL,"vs. HOU","1 out of 5 stars","C","7.9"
"9","Joshua Karty",LAR,"vs. SF","1 out of 5 stars","C","7.6"
"10","Chase McLaughlin",TB,"at SEA","2 out of 5 stars","C+","7.5"
"11","Chad Ryland",ARI,"vs. TEN","3 out of 5 stars","C","7.5"
"12","Ka'imi Fairbairn",HOU,"at BAL","3 out of 5 stars","C","7.4"
"13","Jake Elliott",PHI,"vs. DEN","5 out of 5 stars","C","7.3"
"14","Eddy Pineiro",SF,"at LAR","4 out of 5 stars","C","7.3"
"15","Matt Gay",WAS,"at LAC","3 out of 5 stars","C","7.3"
"16","Cam Little",JAC,"vs. KC","2 out of 5 stars","C","7.3"
"17","Wil Lutz",DEN,"at PHI","4 out of 5 stars","C-","7.1"
"18","Daniel Carlson",LV,"at IND","1 out of 5 stars","C-","7.0"
"19","Nick Folk",NYJ,"vs. DAL","4 out of 5 stars","C-","6.9"
"20","Will Reichard",MIN,"at CLE","2 out of 5 stars","D+","6.9"
"21","Riley Patterson",MIA,"at CAR","2 out of 5 stars","D+","6.8"
"22","Blake Grupe",NO,"vs. NYG","3 out of 5 stars","D","6.8"
"23","Joey Slye",TEN,"at ARI","3 out of 5 stars","D","6.8"
"24","Evan McPherson",CIN,"vs. DET","1 out of 5 stars","D","6.6"
"25","Andy Borregales",NE,"at BUF","2 out of 5 stars","D","6.5"
"26","Ryan Fitzgerald",CAR,"vs. MIA","4 out of 5 stars","D","6.4"
"27","Jude McAtamney",NYG,"at NO","4 out of 5 stars","D-","5.4"
"28","Andre Szmyt",CLE,"vs. MIN","2 out of 5 stars","D-","6.2"
"29","Andrew Wellock",CAR,"vs. MIA","4 out of 5 stars","F","2.1"
