"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Green Bay Packers",GB,"vs. CIN","5 out of 5 stars","A+","9.3"
"2","Philadelphia Eagles",PHI,"at NYG","5 out of 5 stars","A","9.1"
"3","Los Angeles Rams",LAR,"at BAL","2 out of 5 stars","A","8.7"
"4","Denver Broncos",DEN,"at NYJ","5 out of 5 stars","A-","8.0"
"5","Pittsburgh Steelers",PIT,"vs. CLE","5 out of 5 stars","B+","7.5"
"6","Indianapolis Colts",IND,"vs. ARI","5 out of 5 stars","B+","7.4"
"7","Seattle Seahawks",SEA,"at JAC","2 out of 5 stars","B+","7.4"
"8","Cleveland Browns",CLE,"at PIT","2 out of 5 stars","B","7.1"
"9","Buffalo Bills",BUF,"at ATL","4 out of 5 stars","B","6.7"
"10","New England Patriots",NE,"at NO","2 out of 5 stars","B","6.6"
"11","Los Angeles Chargers",LAC,"at MIA","3 out of 5 stars","B-","6.5"
"12","Las Vegas Raiders",LV,"vs. TEN","5 out of 5 stars","B-","6.4"
"13","Jacksonville Jaguars",JAC,"vs. SEA","1 out of 5 stars","C+","6.4"
"14","Detroit Lions",DET,"at KC","1 out of 5 stars","C","6.3"
"15","Tennessee Titans",TEN,"at LV","5 out of 5 stars","C","6.3"
"16","Arizona Cardinals",ARI,"at IND","1 out of 5 stars","D","6.1"
"17","Dallas Cowboys",DAL,"at CAR","5 out of 5 stars","D+","6.1"
"18","Kansas City Chiefs",KC,"vs. DET","1 out of 5 stars","C-","6.0"
"19","Washington Commanders",WAS,"vs. CHI","2 out of 5 stars","D+","6.0"
"20","Tampa Bay Buccaneers",TB,"vs. SF","3 out of 5 stars","C-","5.9"
"21","San Francisco 49ers",SF,"at TB","1 out of 5 stars","D-","5.7"
"22","New Orleans Saints",NO,"vs. NE","4 out of 5 stars","D-","5.6"
"23","New York Giants",NYG,"vs. PHI","1 out of 5 stars","F","5.5"
"24","Chicago Bears",CHI,"at WAS","1 out of 5 stars","F","5.3"
"25","New York Jets",NYJ,"vs. DEN","1 out of 5 stars","F","4.7"
"26","Carolina Panthers",CAR,"vs. DAL","1 out of 5 stars","F","4.7"
"27","Miami Dolphins",MIA,"vs. LAC","5 out of 5 stars","F","4.7"
"28","Atlanta Falcons",ATL,"vs. BUF","2 out of 5 stars","F","4.6"
"29","Baltimore Ravens",BAL,"vs. LAR","2 out of 5 stars","F","4.6"
"30","Cincinnati Bengals",CIN,"at GB","2 out of 5 stars","F","4.5"
