"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"45","DK Metcalf",PIT,"WR12","vs. IND","3 out of 5 stars"
"46","George Pickens",DAL,"WR13","vs. ARI","2 out of 5 stars"
"47","Chase Brown",CIN,"RB13","vs. CHI","3 out of 5 stars"
"48","Jaylen Waddle",MIA,"WR14","vs. BAL","4 out of 5 stars"
"49","J.J. McCarthy",MIN,"QB21","at DET","3 out of 5 stars"
"50","Zay Flowers",BAL,"WR15","at MIA","4 out of 5 stars"
"51","Nico Collins",HOU,"WR16","vs. DEN","2 out of 5 stars"
"52","Jaylen Warren",PIT,"RB14","vs. IND","2 out of 5 stars"
"53","Chris Olave",NO,"WR17","at LAR","4 out of 5 stars"
"54","Drake London",ATL,"WR18","at NE","4 out of 5 stars"
"55","Marvin Harrison Jr.",ARI,"WR19","at DAL","5 out of 5 stars"
"56","Tyler Warren",IND,"TE2","at PIT","4 out of 5 stars"
"57","Geno Smith",LV,"QB22","vs. JAC","2 out of 5 stars"
"58","Tucker Kraft",GB,"TE3","vs. CAR","4 out of 5 stars"
"59","Michael Penix Jr.",ATL,"QB23","at NE","4 out of 5 stars"
"60","Tetairoa McMillan",CAR,"WR20","at GB","3 out of 5 stars"
"61","Ashton Jeanty",LV,"RB15","vs. JAC","2 out of 5 stars"
"62","Tyrone Tracy Jr.",NYG,"RB16","vs. SF","3 out of 5 stars"
"63","Tee Higgins",CIN,"WR21","vs. CHI","3 out of 5 stars"
"64","Mac Jones",SF,"QB24","at NYG","2 out of 5 stars"
"65","Brian Thomas Jr.",JAC,"WR22","at LV","3 out of 5 stars"
"66","Stefon Diggs",NE,"WR23","vs. ATL","3 out of 5 stars"
"67","Courtland Sutton",DEN,"WR24","at HOU","2 out of 5 stars"
"68","Travis Etienne Jr.",JAC,"RB17","at LV","3 out of 5 stars"
"69","Keenan Allen",LAC,"WR25","at TEN","3 out of 5 stars"
"70","George Kittle",SF,"TE4","at NYG","2 out of 5 stars"
"71","Travis Hunter",JAC,"WR26","at LV","3 out of 5 stars"
"72","Brock Bowers",LV,"TE5","vs. JAC","3 out of 5 stars"
"73","Khalil Shakir",BUF,"WR27","vs. KC","3 out of 5 stars"
"74","Wan'Dale Robinson",NYG,"WR28","vs. SF","3 out of 5 stars"
"75","Jake Ferguson",DAL,"TE6","vs. ARI","3 out of 5 stars"
"76","Jordan Addison",MIN,"WR29","at DET","4 out of 5 stars"
"77","Cam Ward",TEN,"QB25","vs. LAC","1 out of 5 stars"
"78","Xavier Worthy",KC,"WR30","at BUF","3 out of 5 stars"
"79","Zonovan Knight",ARI,"RB18","at DAL","3 out of 5 stars"
"80","Jayden Daniels",WAS,"QB26","vs. SEA","2 out of 5 stars"
"81","J.K. Dobbins",DEN,"RB19","at HOU","4 out of 5 stars"
"82","Deebo Samuel Sr.",WAS,"WR31","vs. SEA","3 out of 5 stars"
"83","Rico Dowdle",CAR,"RB20","at GB","2 out of 5 stars"
"84","Oronde Gadsden II",LAC,"TE7","at TEN","3 out of 5 stars"
"85","Romeo Doubs",GB,"WR32","vs. CAR","3 out of 5 stars"
"86","DJ Moore",CHI,"WR33","at CIN","3 out of 5 stars"
"87","Quentin Johnston",LAC,"WR34","at TEN","3 out of 5 stars"
"88","Sam LaPorta",DET,"TE8","vs. MIN","3 out of 5 stars"
"89","Josh Downs",IND,"WR35","at PIT","2 out of 5 stars"
"90","Kenneth Walker III",SEA,"RB21","at WAS","3 out of 5 stars"
""
"91","Jauan Jennings",SF,"WR36","at NYG","2 out of 5 stars"
"92","Kyle Pitts Sr.",ATL,"TE9","at NE","4 out of 5 stars"
"93","David Montgomery",DET,"RB22","vs. MIN","3 out of 5 stars"
"94","Alvin Kamara",NO,"RB23","at LAR","2 out of 5 stars"
"95","Rhamondre Stevenson",NE,"RB24","vs. ATL","3 out of 5 stars"
"96","Travis Kelce",KC,"TE10","at BUF","4 out of 5 stars"
"97","Woody Marks",HOU,"RB25","vs. DEN","3 out of 5 stars"
"98","Jameson Williams",DET,"WR37","vs. MIN","3 out of 5 stars"
"99","Rashid Shaheed",NO,"WR38","at LAR","4 out of 5 stars"
"100","Jacory Croskey-Merritt",WAS,"RB26","vs. SEA","2 out of 5 stars"
"101","Tre Tucker",LV,"WR39","vs. JAC","3 out of 5 stars"
"102","Kareem Hunt",KC,"RB27","at BUF","4 out of 5 stars"
"103","Dalton Kincaid",BUF,"TE11","vs. KC","3 out of 5 stars"
"104","Kayshon Boutte",NE,"WR40","vs. ATL","3 out of 5 stars"
"105","Terry McLaurin",WAS,"WR41","vs. SEA","3 out of 5 stars"
"106","Zach Charbonnet",SEA,"RB28","at WAS","3 out of 5 stars"
"107","Colston Loveland",CHI,"TE12","at CIN","3 out of 5 stars"
"108","Aaron Jones Sr.",MIN,"RB29","at DET","1 out of 5 stars"
"109","Alec Pierce",IND,"WR42","at PIT","2 out of 5 stars"
"110","Jakobi Meyers",LV,"WR43","vs. JAC","3 out of 5 stars"
"111","Troy Franklin",DEN,"WR44","at HOU","2 out of 5 stars"
"112","Kendrick Bourne",SF,"WR45","at NYG","2 out of 5 stars"
"113","Chimere Dike",TEN,"WR46","vs. LAC","2 out of 5 stars"
"114","Tyjae Spears",TEN,"RB30","vs. LAC","3 out of 5 stars"
"115","Bryce Young",CAR,"QB27","at GB","3 out of 5 stars"
"116","Darnell Mooney",ATL,"WR47","at NE","4 out of 5 stars"
"117","Tyler Shough",NO,"QB28","at LAR","2 out of 5 stars"
"118","Evan Engram",DEN,"TE13","at HOU","2 out of 5 stars"
"119","Cooper Kupp",SEA,"WR48","at WAS","3 out of 5 stars"
"120","Zach Ertz",WAS,"TE14","vs. SEA","4 out of 5 stars"
"121","Mark Andrews",BAL,"TE15","at MIA","2 out of 5 stars"
"122","Tony Pollard",TEN,"RB31","vs. LAC","3 out of 5 stars"
"123","Jaylin Noel",HOU,"WR49","vs. DEN","2 out of 5 stars"
"124","Darius Slayton",NYG,"WR50","vs. SF","3 out of 5 stars"
"125","Keon Coleman",BUF,"WR51","vs. KC","3 out of 5 stars"
"126","Theo Johnson",NYG,"TE16","vs. SF","2 out of 5 stars"
"127","Hunter Henry",NE,"TE17","vs. ATL","1 out of 5 stars"
"128","T.J. Hockenson",MIN,"TE18","at DET","3 out of 5 stars"
"129","Brock Purdy",SF,"QB29","at NYG","2 out of 5 stars"
"130","Matthew Golden",GB,"WR52","vs. CAR","3 out of 5 stars"
"131","Malik Washington",MIA,"WR53","vs. BAL","4 out of 5 stars"
"132","Christian Watson",GB,"WR54","vs. CAR","3 out of 5 stars"
"133","Elic Ayomanor",TEN,"WR55","vs. LAC","2 out of 5 stars"
"134","Jordan Mason",MIN,"RB32","at DET","1 out of 5 stars"
"135","Juwan Johnson",NO,"TE19","at LAR","2 out of 5 stars"
"136","Marquise Brown",KC,"WR56","at BUF","3 out of 5 stars"
"137","Dalton Schultz",HOU,"TE20","vs. DEN","3 out of 5 stars"
"138","RJ Harvey",DEN,"RB33","at HOU","4 out of 5 stars"
"139","Calvin Austin III",PIT,"WR57","vs. IND","3 out of 5 stars"
"140","Brashard Smith",KC,"RB34","at BUF","4 out of 5 stars"
"141","Chuba Hubbard",CAR,"RB35","at GB","2 out of 5 stars"
"142","Kyle Monangai",CHI,"RB36","at CIN","4 out of 5 stars"
"143","Rashod Bateman",BAL,"WR58","at MIA","4 out of 5 stars"
"144","AJ Barner",SEA,"TE21","at WAS","4 out of 5 stars"
"145","Xavier Legette",CAR,"WR59","at GB","3 out of 5 stars"
"146","Jonnu Smith",PIT,"TE22","vs. IND","4 out of 5 stars"
"147","Samaje Perine",CIN,"RB37","vs. CHI","3 out of 5 stars"
"148","TreVeyon Henderson",NE,"RB38","vs. ATL","3 out of 5 stars"
"149","Noah Fant",CIN,"TE23","vs. CHI","3 out of 5 stars"
"150","Jalen Coker",CAR,"WR60","at GB","3 out of 5 stars"
"151","Jayden Higgins",HOU,"WR61","vs. DEN","2 out of 5 stars"
"152","Xavier Hutchinson",HOU,"WR62","vs. DEN","2 out of 5 stars"
"153","Nick Chubb",HOU,"RB39","vs. DEN","3 out of 5 stars"
"154","Olamide Zaccheaus",CHI,"WR63","at CIN","3 out of 5 stars"
"155","Tyler Allgeier",ATL,"RB40","at NE","1 out of 5 stars"
"156","Chig Okonkwo",TEN,"TE24","vs. LAC","4 out of 5 stars"
"157","Kenneth Gainwell",PIT,"RB41","vs. IND","2 out of 5 stars"
"158","Justice Hill",BAL,"RB42","at MIA","4 out of 5 stars"
"159","Pat Freiermuth",PIT,"TE25","vs. IND","4 out of 5 stars"
"160","Taysom Hill",NO,"TE26","at LAR","2 out of 5 stars"
"161","Andrei Iosivas",CIN,"WR64","vs. CHI","3 out of 5 stars"
"162","Ollie Gordon II",MIA,"RB43","vs. BAL","4 out of 5 stars"
"163","DeMario Douglas",NE,"WR65","vs. ATL","3 out of 5 stars"
"164","Michael Wilson",ARI,"WR66","at DAL","5 out of 5 stars"
"165","Mack Hollins",NE,"WR67","vs. ATL","3 out of 5 stars"
"166","Emanuel Wilson",GB,"RB44","vs. CAR","3 out of 5 stars"
"167","Jeremy McNichols",WAS,"RB45","vs. SEA","2 out of 5 stars"
"168","DeAndre Hopkins",BAL,"WR68","at MIA","4 out of 5 stars"
"169","Isaiah Likely",BAL,"TE27","at MIA","2 out of 5 stars"
"170","Van Jefferson",TEN,"WR69","vs. LAC","2 out of 5 stars"
"171","Parker Washington",JAC,"WR70","at LV","3 out of 5 stars"
"172","Bhayshul Tuten",JAC,"RB46","at LV","3 out of 5 stars"
"173","Blake Corum",LAR,"RB47","vs. NO","3 out of 5 stars"
"174","Hunter Long",JAC,"TE28","at LV","3 out of 5 stars"
"175","Pat Bryant",DEN,"WR71","at HOU","2 out of 5 stars"
"176","Tyler Higbee",LAR,"TE29","vs. NO","3 out of 5 stars"
"177","Jaydon Blue",DAL,"RB48","vs. ARI","3 out of 5 stars"
"178","Tory Horton",SEA,"WR72","at WAS","3 out of 5 stars"
"179","Marvin Mims Jr.",DEN,"WR73","at HOU","2 out of 5 stars"
"180","Jalen Nailor",MIN,"WR74","at DET","4 out of 5 stars"
"181","Gunnar Helm",TEN,"TE30","vs. LAC","4 out of 5 stars"
"182","Luke McCaffrey",WAS,"WR75","vs. SEA","3 out of 5 stars"
"183","Marcus Mariota",WAS,"QB30","vs. SEA","2 out of 5 stars"
"184","Jaylin Lane",WAS,"WR76","vs. SEA","3 out of 5 stars"
"185","Roman Wilson",PIT,"WR77","vs. IND","3 out of 5 stars"
"186","Emari Demercado",ARI,"RB49","at DAL","3 out of 5 stars"
"187","Devin Singletary",NYG,"RB50","vs. SF","3 out of 5 stars"
"188","Brian Robinson Jr.",SF,"RB51","at NYG","4 out of 5 stars"
"189","Ty Johnson",BUF,"RB52","vs. KC","3 out of 5 stars"
"190","Dyami Brown",JAC,"WR78","at LV","3 out of 5 stars"
"191","Zay Jones",ARI,"WR79","at DAL","5 out of 5 stars"
"192","Devin Neal",NO,"RB53","at LAR","2 out of 5 stars"
"193","Nick Westbrook-Ikhine",MIA,"WR80","vs. BAL","4 out of 5 stars"
"194","Ja'Tavion Sanders",CAR,"TE31","at GB","3 out of 5 stars"
"195","JuJu Smith-Schuster",KC,"WR81","at BUF","3 out of 5 stars"
"196","Tyquan Thornton",KC,"WR82","at BUF","3 out of 5 stars"
"197","Tre Harris",LAC,"WR83","at TEN","3 out of 5 stars"
"198","Lil'Jordan Humphrey",NYG,"WR84","vs. SF","3 out of 5 stars"
"199","Jordan Whittington",LAR,"WR85","vs. NO","3 out of 5 stars"
"200","Isaac TeSlaa",DET,"WR86","vs. MIN","3 out of 5 stars"
"201","Daniel Bellinger",NYG,"TE32","vs. SF","2 out of 5 stars"
"202","Jaret Patterson",LAC,"RB54","at TEN","4 out of 5 stars"
"203","KaVontae Turpin",DAL,"WR87","vs. ARI","2 out of 5 stars"
"204","Keaton Mitchell",BAL,"RB55","at MIA","4 out of 5 stars"
"205","Andy Dalton",CAR,"QB31","at GB","3 out of 5 stars"
"206","Ray Davis",BUF,"RB56","vs. KC","3 out of 5 stars"
"207","Elijah Moore",BUF,"WR88","vs. KC","3 out of 5 stars"
"208","Brandin Cooks",NO,"WR89","at LAR","4 out of 5 stars"
"209","Noah Gray",KC,"TE33","at BUF","4 out of 5 stars"
"210","Ryan Flournoy",DAL,"WR90","vs. ARI","2 out of 5 stars"
"211","Dont'e Thornton Jr.",LV,"WR91","vs. JAC","3 out of 5 stars"
"212","Chris Rodriguez Jr.",WAS,"RB57","vs. SEA","2 out of 5 stars"
"213","Chris Moore",WAS,"WR92","vs. SEA","3 out of 5 stars"
"214","Austin Hooper",NE,"TE34","vs. ATL","1 out of 5 stars"
"215","Dawson Knox",BUF,"TE35","vs. KC","3 out of 5 stars"
"216","Jaylen Wright",MIA,"RB58","vs. BAL","4 out of 5 stars"
"217","Demarcus Robinson",SF,"WR93","at NYG","2 out of 5 stars"
"218","Michael Carter",ARI,"RB59","at DAL","3 out of 5 stars"
"219","Raheem Mostert",LV,"RB60","vs. JAC","2 out of 5 stars"
"220","Tyler Badie",DEN,"RB61","at HOU","4 out of 5 stars"
"221","Isiah Pacheco",KC,"RB62","at BUF","4 out of 5 stars"
"222","LeQuint Allen Jr.",JAC,"RB63","at LV","3 out of 5 stars"
"223","Devaughn Vele",NO,"WR94","at LAR","4 out of 5 stars"
"224","Jalen Tolbert",DAL,"WR95","vs. ARI","2 out of 5 stars"
"225","Ricky Pearsall",SF,"WR96","at NYG","2 out of 5 stars"
"226","Calvin Ridley",TEN,"WR97","vs. LAC","2 out of 5 stars"
"227","Kalif Raymond",DET,"WR98","vs. MIN","3 out of 5 stars"
"228","Jack Bech",LV,"WR99","vs. JAC","3 out of 5 stars"
"229","Malik Heath",GB,"WR100","vs. CAR","3 out of 5 stars"
"230","Chris Brooks",GB,"RB64","vs. CAR","3 out of 5 stars"
"231","Tyler Huntley",BAL,"QB32","at MIA","4 out of 5 stars"
"232","Curtis Samuel",BUF,"WR101","vs. KC","3 out of 5 stars"
"233","Greg Dortch",ARI,"WR102","at DAL","5 out of 5 stars"
"234","Tyrell Shavers",BUF,"WR103","vs. KC","3 out of 5 stars"
"235","Kirk Cousins",ATL,"QB33","at NE","4 out of 5 stars"
"236","Jacoby Brissett",ARI,"QB34","at DAL","5 out of 5 stars"
"237","Spencer Rattler",NO,"QB35","at LAR","2 out of 5 stars"
"238","Kyle Juszczyk",SF,"RB65","at NYG","4 out of 5 stars"
"239","Christian Kirk",HOU,"WR104","vs. DEN","2 out of 5 stars"
"240","Luther Burden III",CHI,"WR105","at CIN","3 out of 5 stars"
"241","Savion Williams",GB,"WR106","vs. CAR","3 out of 5 stars"
"242","Darnell Washington",PIT,"TE36","vs. IND","4 out of 5 stars"
"243","Adam Thielen",MIN,"WR107","at DET","4 out of 5 stars"
"244","Tommy Tremble",CAR,"TE37","at GB","3 out of 5 stars"
"245","KhaDarel Hodge",ATL,"WR108","at NE","4 out of 5 stars"
"246","Zavier Scott",MIN,"RB66","at DET","1 out of 5 stars"
"247","Trevor Etienne",CAR,"RB67","at GB","2 out of 5 stars"
"248","Elijah Arroyo",SEA,"TE38","at WAS","4 out of 5 stars"
"249","Tyler Lockett",LV,"WR109","vs. JAC","3 out of 5 stars"
"250","Ameer Abdullah",IND,"RB68","at PIT","3 out of 5 stars"
"251","D'Ernest Johnson",FA,"RB69","-","-"
"252","Casey Washington",ATL,"WR110","at NE","4 out of 5 stars"
"253","Tyler Goodson",IND,"RB70","at PIT","3 out of 5 stars"
"254","Julius Chestnut",TEN,"RB71","vs. LAC","3 out of 5 stars"
"255","Dylan Laube",LV,"RB72","vs. JAC","2 out of 5 stars"
"256","Terrance Ferguson",LAR,"TE39","vs. NO","3 out of 5 stars"
"257","Dare Ogunbowale",HOU,"RB73","vs. DEN","3 out of 5 stars"
"258","Kaleb Johnson",PIT,"RB74","vs. IND","2 out of 5 stars"
"259","Tahj Brooks",CIN,"RB75","vs. CHI","3 out of 5 stars"
"260","Jimmy Horn Jr.",CAR,"WR111","at GB","3 out of 5 stars"
"261","Joshua Palmer",BUF,"WR112","vs. KC","3 out of 5 stars"
"262","Tanner Conner",MIA,"TE40","vs. BAL","4 out of 5 stars"
"263","Alec Ingold",MIA,"RB76","vs. BAL","4 out of 5 stars"
"264","Michael Mayer",LV,"TE41","vs. JAC","3 out of 5 stars"
"265","Tanner Hudson",CIN,"TE42","vs. CHI","3 out of 5 stars"
"266","Josh Oliver",MIN,"TE43","at DET","3 out of 5 stars"
"267","Terrell Jennings",NE,"RB77","vs. ATL","3 out of 5 stars"
"268","Adam Trautman",DEN,"TE44","at HOU","2 out of 5 stars"
"269","Braxton Berrios",HOU,"WR113","vs. DEN","2 out of 5 stars"
"270","Davis Allen",LAR,"TE45","vs. NO","3 out of 5 stars"
"271","Greg Dulcich",MIA,"TE46","vs. BAL","4 out of 5 stars"
"272","Colby Parkinson",LAR,"TE47","vs. NO","3 out of 5 stars"
"273","Adonai Mitchell",IND,"WR114","at PIT","2 out of 5 stars"
"274","Patrick Ricard",BAL,"RB78","at MIA","4 out of 5 stars"
"275","Hunter Luepke",DAL,"RB79","vs. ARI","3 out of 5 stars"
"276","David Sills V",ATL,"WR115","at NE","4 out of 5 stars"
"277","Adam Prentice",DEN,"RB80","at HOU","4 out of 5 stars"
"278","DJ Giddens",IND,"RB81","at PIT","3 out of 5 stars"
"279","Jackson Hawes",BUF,"TE48","vs. KC","3 out of 5 stars"
"280","Nyheim Hines",FA,"RB82","-","-"
"281","Kyle Williams",NE,"WR116","vs. ATL","3 out of 5 stars"
"282","Hassan Haskins",LAC,"RB83","at TEN","4 out of 5 stars"
"283","Jake Tonges",SF,"TE49","at NYG","2 out of 5 stars"
"284","Mitchell Evans",CAR,"TE50","at GB","3 out of 5 stars"
"285","Cam Akers",MIN,"RB84","at DET","1 out of 5 stars"
"286","Elijah Higgins",ARI,"TE51","at DAL","4 out of 5 stars"
"287","Nathan Carter",ATL,"RB85","at NE","1 out of 5 stars"
"288","Max Brosmer",MIN,"QB36","at DET","3 out of 5 stars"
"289","Isaac Guerendo",SF,"RB86","at NYG","4 out of 5 stars"
"290","Ben Sinnott",WAS,"TE52","vs. SEA","4 out of 5 stars"
"291","Malik Davis",DAL,"RB87","vs. ARI","3 out of 5 stars"
"292","Skyy Moore",SF,"WR117","at NYG","2 out of 5 stars"
"293","Dameon Pierce",HOU,"RB88","vs. DEN","3 out of 5 stars"
"294","Reggie Gilliam",BUF,"RB89","vs. KC","3 out of 5 stars"
"295","Beaux Collins",NYG,"WR118","vs. SF","3 out of 5 stars"
"296","Donovan Edwards",WAS,"RB90","vs. SEA","2 out of 5 stars"
"297","Rasheen Ali",BAL,"RB91","at MIA","4 out of 5 stars"
"298","Luke Musgrave",GB,"TE53","vs. CAR","4 out of 5 stars"
"299","Craig Reynolds",DET,"RB92","vs. MIN","3 out of 5 stars"
"300","Luke Schoonmaker",DAL,"TE54","vs. ARI","3 out of 5 stars"
"301","George Holani",SEA,"RB93","at WAS","3 out of 5 stars"
"302","Sincere McCormick",SF,"RB94","at NYG","4 out of 5 stars"
"303","Tyler Conklin",LAC,"TE55","at TEN","3 out of 5 stars"
"304","Foster Moreau",NO,"TE56","at LAR","2 out of 5 stars"
"305","Nate Adkins",DEN,"TE57","at HOU","2 out of 5 stars"
"306","Dante Miller",NYG,"RB95","vs. SF","3 out of 5 stars"
"307","Ashton Dulin",IND,"WR119","at PIT","2 out of 5 stars"
"308","Cedrick Wilson Jr.",MIA,"WR120","vs. BAL","4 out of 5 stars"
"309","Luke Farrell",SF,"TE58","at NYG","2 out of 5 stars"
"310","Mo Alie-Cox",IND,"TE59","at PIT","4 out of 5 stars"
"311","C.J. Ham",MIN,"RB96","at DET","1 out of 5 stars"
"312","Drew Sample",CIN,"TE60","vs. CHI","3 out of 5 stars"
"313","Konata Mumpfield",LAR,"WR121","vs. NO","3 out of 5 stars"
"314","Jordan Watkins",SF,"WR122","at NYG","2 out of 5 stars"
"315","Roschon Johnson",CHI,"RB97","at CIN","4 out of 5 stars"
"316","Harrison Bryant",HOU,"TE61","vs. DEN","3 out of 5 stars"
"317","Johnny Mundt",JAC,"TE62","at LV","3 out of 5 stars"
"318","Jaleel McLaughlin",DEN,"RB98","at HOU","4 out of 5 stars"
"319","Tucker Fisk",LAC,"TE63","at TEN","3 out of 5 stars"
"320","Travis Homer",CHI,"RB99","at CIN","4 out of 5 stars"
"321","Dee Eskridge",MIA,"WR123","vs. BAL","4 out of 5 stars"
"322","Connor Heyward",PIT,"TE64","vs. IND","4 out of 5 stars"
"323","Brock Wright",DET,"TE65","vs. MIN","3 out of 5 stars"
"324","Brycen Tremayne",CAR,"WR124","at GB","3 out of 5 stars"
"325","Charlie Kolar",BAL,"TE66","at MIA","2 out of 5 stars"
"326","John Bates",WAS,"TE67","vs. SEA","4 out of 5 stars"
"327","Devin Duvernay",CHI,"WR125","at CIN","3 out of 5 stars"
"328","Amar Johnson",LAC,"RB100","at TEN","4 out of 5 stars"
"329","Charlie Woerner",ATL,"TE68","at NE","4 out of 5 stars"
"330","DeeJay Dallas",CAR,"RB101","at GB","2 out of 5 stars"
"331","Drew Ogletree",IND,"TE69","at PIT","4 out of 5 stars"
"332","Russell Wilson",NYG,"QB37","vs. SF","4 out of 5 stars"
"333","Will Dissly",LAC,"TE70","at TEN","3 out of 5 stars"
"334","Jalen Milroe",SEA,"QB38","at WAS","5 out of 5 stars"
"335","Malik Willis",GB,"QB39","vs. CAR","3 out of 5 stars"
"336","Joe Milton III",DAL,"QB40","vs. ARI","2 out of 5 stars"
"337","Jarquez Hunter",LAR,"RB102","vs. NO","3 out of 5 stars"
"338","Jimmy Garoppolo",LAR,"QB41","vs. NO","3 out of 5 stars"
"339","Bo Melton",GB,"WR126","vs. CAR","3 out of 5 stars"
"340","Mason Kinsey",TEN,"WR127","vs. LAC","2 out of 5 stars"
"341","Tylan Wallace",BAL,"WR128","at MIA","4 out of 5 stars"
"342","Jake Browning",CIN,"QB42","vs. CHI","5 out of 5 stars"
"343","Anthony Gould",IND,"WR129","at PIT","2 out of 5 stars"
"344","Zach Wilson",MIA,"QB43","vs. BAL","4 out of 5 stars"
"345","Collin Hill",FA,"QB44","-","-"
"346","Xavier Smith",LAR,"WR130","vs. NO","3 out of 5 stars"
"347","Cooper Rush",BAL,"QB45","at MIA","4 out of 5 stars"
"348","MarShawn Lloyd",GB,"RB103","vs. CAR","3 out of 5 stars"
"349","Mitchell Trubisky",BUF,"QB46","vs. KC","2 out of 5 stars"
"350","British Brooks",HOU,"RB104","vs. DEN","3 out of 5 stars"
"351","Joshua Dobbs",NE,"QB47","vs. ATL","3 out of 5 stars"
"352","Trayveon Williams",LAC,"RB105","at TEN","4 out of 5 stars"
"353","Hendon Hooker",CAR,"QB48","at GB","3 out of 5 stars"
"354","Tim Patrick",JAC,"WR131","at LV","3 out of 5 stars"
"355","Riley Leonard",IND,"QB49","at PIT","3 out of 5 stars"
"356","Mason Rudolph",PIT,"QB50","vs. IND","3 out of 5 stars"
"357","Ray-Ray McCloud III",NYG,"WR132","vs. SF","3 out of 5 stars"
"358","Tyson Bagent",CHI,"QB51","at CIN","4 out of 5 stars"
"359","Jake Bobo",SEA,"WR133","at WAS","3 out of 5 stars"
"360","Nick Mullens",JAC,"QB52","at LV","2 out of 5 stars"
"361","Brandon Allen",TEN,"QB53","vs. LAC","1 out of 5 stars"
"362","Jarrett Stidham",DEN,"QB54","at HOU","2 out of 5 stars"
"363","Taylor Heinicke",FA,"QB55","-","-"
"364","Davis Mills",HOU,"QB56","vs. DEN","1 out of 5 stars"
"365","Blaine Gabbert",FA,"QB57","-","-"
"366","Aidan O'Connell",LV,"QB58","vs. JAC","2 out of 5 stars"
"367","Quinn Ewers",MIA,"QB59","vs. BAL","4 out of 5 stars"
"368","Jalen Hurts",PHI,"QB60","-","-"
"369","Baker Mayfield",TB,"QB61","-","-"
"370","Derius Davis",LAC,"WR134","at TEN","3 out of 5 stars"
"371","Justin Fields",NYJ,"QB62","-","-"
"372","Dillon Gabriel",CLE,"QB63","-","-"
"373","Julian Hill",MIA,"TE71","vs. BAL","4 out of 5 stars"
"374","Trey Lance",LAC,"QB64","at TEN","3 out of 5 stars"
"375","Kyle Trask",FA,"QB65","-","-"
"376","Tanner McKee",PHI,"QB66","-","-"
