"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Christian McCaffrey",SF,"RB1","at NYG","4 out of 5 stars"
"2","Patrick Mahomes II",KC,"QB1","at BUF","2 out of 5 stars"
"3","Josh Allen",BUF,"QB2","vs. KC","2 out of 5 stars"
"4","Lamar Jackson",BAL,"QB3","at MIA","4 out of 5 stars"
"5","Ja'Marr Chase",CIN,"WR1","vs. CHI","3 out of 5 stars"
"6","Justin Herbert",LAC,"QB4","at TEN","3 out of 5 stars"
"7","Jonathan Taylor",IND,"RB2","at PIT","3 out of 5 stars"
"8","Drake Maye",NE,"QB5","vs. ATL","3 out of 5 stars"
"9","Bijan Robinson",ATL,"RB3","at NE","1 out of 5 stars"
"10","Jaxon Smith-Njigba",SEA,"WR2","at WAS","3 out of 5 stars"
"11","Dak Prescott",DAL,"QB6","vs. ARI","2 out of 5 stars"
"12","Daniel Jones",IND,"QB7","at PIT","3 out of 5 stars"
"13","Puka Nacua",LAR,"WR3","vs. NO","3 out of 5 stars"
"14","De'Von Achane",MIA,"RB4","vs. BAL","4 out of 5 stars"
"15","Caleb Williams",CHI,"QB8","at CIN","4 out of 5 stars"
"16","Jahmyr Gibbs",DET,"RB5","vs. MIN","3 out of 5 stars"
"17","Kyler Murray",ARI,"QB9","at DAL","5 out of 5 stars"
"18","CeeDee Lamb",DAL,"WR4","vs. ARI","2 out of 5 stars"
"19","Matthew Stafford",LAR,"QB10","vs. NO","3 out of 5 stars"
"20","Jaxson Dart",NYG,"QB11","vs. SF","4 out of 5 stars"
"21","Amon-Ra St. Brown",DET,"WR5","vs. MIN","3 out of 5 stars"
"22","Trey McBride",ARI,"TE1","at DAL","4 out of 5 stars"
"23","Jordan Love",GB,"QB12","vs. CAR","3 out of 5 stars"
"24","Rashee Rice",KC,"WR6","at BUF","3 out of 5 stars"
"25","Javonte Williams",DAL,"RB6","vs. ARI","3 out of 5 stars"
"26","Joe Flacco",CIN,"QB13","vs. CHI","5 out of 5 stars"
""
"27","Jared Goff",DET,"QB14","vs. MIN","5 out of 5 stars"
"28","Derrick Henry",BAL,"RB7","at MIA","4 out of 5 stars"
"29","Sam Darnold",SEA,"QB15","at WAS","5 out of 5 stars"
"30","Josh Jacobs",GB,"RB8","vs. CAR","3 out of 5 stars"
"31","Bo Nix",DEN,"QB16","at HOU","2 out of 5 stars"
"32","Justin Jefferson",MIN,"WR7","at DET","4 out of 5 stars"
"33","Trevor Lawrence",JAC,"QB17","at LV","2 out of 5 stars"
"34","Aaron Rodgers",PIT,"QB18","vs. IND","3 out of 5 stars"
"35","Rome Odunze",CHI,"WR8","at CIN","3 out of 5 stars"
"36","James Cook III",BUF,"RB9","vs. KC","3 out of 5 stars"
"37","Kimani Vidal",LAC,"RB10","at TEN","4 out of 5 stars"
"38","Davante Adams",LAR,"WR9","vs. NO","3 out of 5 stars"
"39","Tua Tagovailoa",MIA,"QB19","vs. BAL","4 out of 5 stars"
"40","Michael Pittman Jr.",IND,"WR10","at PIT","2 out of 5 stars"
"41","D'Andre Swift",CHI,"RB11","at CIN","4 out of 5 stars"
"42","C.J. Stroud",HOU,"QB20","vs. DEN","1 out of 5 stars"
"43","Ladd McConkey",LAC,"WR11","at TEN","3 out of 5 stars"
"44","Kyren Williams",LAR,"RB12","vs. NO","3 out of 5 stars"
