"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Wil Lutz",DEN,"vs. TEN","5 out of 5 stars","B+","9.7"
"2","Chase McLaughlin",TB,"at ATL","5 out of 5 stars","B","8.7"
"3","Brandon Aubrey",DAL,"at PHI","1 out of 5 stars","B","8.7"
"4","Evan McPherson",CIN,"at CLE","1 out of 5 stars","B-","8.6"
"5","Cameron Dicker",LAC,"vs. KC","1 out of 5 stars","B","8.6"
"6","Harrison Butker",KC,"at LAC","1 out of 5 stars","C+","8.1"
"7","Jake Elliott",PHI,"vs. DAL","2 out of 5 stars","C+","8.0"
"8","Ka'imi Fairbairn",HOU,"at LAR","4 out of 5 stars","C+","7.8"
"9","Matt Gay",WAS,"vs. NYG","5 out of 5 stars","C+","7.8"
"10","Jake Bates",DET,"at GB","1 out of 5 stars","C","7.8"
"11","Cam Little",JAC,"vs. CAR","5 out of 5 stars","C","7.7"
"12","Tyler Bass",BUF,"vs. BAL","1 out of 5 stars","C","7.7"
"13","Tyler Loop",BAL,"at BUF","1 out of 5 stars","C","7.5"
"14","Chad Ryland",ARI,"at NO","1 out of 5 stars","C","7.5"
"15","Younghoe Koo",ATL,"vs. TB","2 out of 5 stars","C","7.4"
"16","Will Reichard",MIN,"at CHI","3 out of 5 stars","C-","7.4"
"17","Brandon McManus",GB,"vs. DET","1 out of 5 stars","C-","7.3"
"18","Joshua Karty",LAR,"vs. HOU","5 out of 5 stars","C-","7.3"
"19","Chris Boswell",PIT,"at NYJ","5 out of 5 stars","C-","7.2"
"20","Jason Myers",SEA,"vs. SF","2 out of 5 stars","D+","7.1"
"21","Jake Moody",SF,"at SEA","1 out of 5 stars","D+","7.1"
"22","Daniel Carlson",LV,"at NE","1 out of 5 stars","D+","7.1"
"23","Cairo Santos",CHI,"vs. MIN","5 out of 5 stars","D","7.0"
"24","Spencer Shrader",IND,"vs. MIA","5 out of 5 stars","D","6.8"
"25","Andy Borregales",NE,"vs. LV","5 out of 5 stars","D","6.8"
"26","Graham Gano",NYG,"at WAS","4 out of 5 stars","D-","6.8"
"27","Riley Patterson",MIA,"at IND","5 out of 5 stars","D-","6.7"
"28","Blake Grupe",NO,"vs. ARI","5 out of 5 stars","D-","6.7"
"29","Ryan Fitzgerald",CAR,"at JAC","3 out of 5 stars","D-","6.5"
"30","Joey Slye",TEN,"at DEN","5 out of 5 stars","F","6.3"
"31","Nick Folk",NYJ,"vs. PIT","1 out of 5 stars","F","5.7"
"32","Andre Szmyt",CLE,"vs. CIN","5 out of 5 stars","F","5.3"
"33","Jason Sanders",MIA,"at IND","5 out of 5 stars","F","0.0"
"34","Matthew Wright",FA,"-","-","F","0.0"
