"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Green Bay Packers",GB,"at CLE","5 out of 5 stars","A+","7.7"
"2","Buffalo Bills",BUF,"vs. MIA","5 out of 5 stars","A","7.6"
"3","Minnesota Vikings",MIN,"vs. CIN","4 out of 5 stars","A","7.5"
"4","Seattle Seahawks",SEA,"vs. NO","4 out of 5 stars","A-","7.3"
"5","Atlanta Falcons",ATL,"at CAR","5 out of 5 stars","B+","7.3"
"6","Indianapolis Colts",IND,"at TEN","5 out of 5 stars","B","7.2"
"7","Kansas City Chiefs",KC,"at NYG","5 out of 5 stars","B","7.2"
"8","Tampa Bay Buccaneers",TB,"vs. NYJ","2 out of 5 stars","B","6.8"
"9","Houston Texans",HOU,"at JAC","3 out of 5 stars","B-","6.7"
"10","Pittsburgh Steelers",PIT,"at NE","5 out of 5 stars","B-","6.5"
"11","Washington Commanders",WAS,"vs. LV","5 out of 5 stars","C+","6.3"
"12","San Francisco 49ers",SF,"vs. ARI","4 out of 5 stars","C","6.2"
"13","Philadelphia Eagles",PHI,"vs. LAR","2 out of 5 stars","C","6.0"
"14","Cincinnati Bengals",CIN,"at MIN","5 out of 5 stars","C","6.0"
"15","Jacksonville Jaguars",JAC,"vs. HOU","4 out of 5 stars","C","5.9"
"16","Los Angeles Chargers",LAC,"vs. DEN","2 out of 5 stars","C-","5.8"
"17","Denver Broncos",DEN,"at LAC","2 out of 5 stars","C-","5.8"
"18","Dallas Cowboys",DAL,"at CHI","3 out of 5 stars","D","5.6"
"19","New England Patriots",NE,"vs. PIT","3 out of 5 stars","D+","5.6"
"20","Arizona Cardinals",ARI,"at SF","3 out of 5 stars","D","5.5"
"21","Baltimore Ravens",BAL,"vs. DET","1 out of 5 stars","D-","5.5"
"22","Tennessee Titans",TEN,"vs. IND","1 out of 5 stars","F","5.5"
"23","Las Vegas Raiders",LV,"at WAS","2 out of 5 stars","F","5.4"
"24","Chicago Bears",CHI,"vs. DAL","2 out of 5 stars","F","5.4"
"25","New York Jets",NYJ,"at TB","2 out of 5 stars","F","5.4"
"26","New York Giants",NYG,"vs. KC","1 out of 5 stars","F","5.4"
"27","New Orleans Saints",NO,"at SEA","4 out of 5 stars","F","5.3"
"28","Los Angeles Rams",LAR,"at PHI","1 out of 5 stars","F","5.2"
"29","Cleveland Browns",CLE,"vs. GB","1 out of 5 stars","F","5.1"
"30","Detroit Lions",DET,"at BAL","1 out of 5 stars","F","4.8"
"31","Carolina Panthers",CAR,"vs. ATL","1 out of 5 stars","F","4.6"
"32","Miami Dolphins",MIA,"at BUF","1 out of 5 stars","F","4.5"
