"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"at DEN","4 out of 5 stars","A","9.0"
"2","Chase McLaughlin",TB,"at NO","3 out of 5 stars","B+","8.9"
"3","Harrison Butker",KC,"vs. WAS","4 out of 5 stars","B","8.7"
"4","Cameron Dicker",LAC,"vs. MIN","2 out of 5 stars","B-","8.1"
"5","Michael Badgley",IND,"vs. TEN","2 out of 5 stars","B-","8.0"
"6","Tyler Loop",BAL,"vs. CHI","1 out of 5 stars","C+","8.0"
"7","Chris Boswell",PIT,"vs. GB","2 out of 5 stars","C+","7.9"
"8","Wil Lutz",DEN,"vs. DAL","4 out of 5 stars","C+","7.8"
"9","Matt Prater",BUF,"at CAR","2 out of 5 stars","C","7.7"
"10","Evan McPherson",CIN,"vs. NYJ","5 out of 5 stars","C","7.7"
"11","Eddy Pineiro",SF,"at HOU","1 out of 5 stars","C","7.6"
"12","Parker Romo",ATL,"vs. MIA","5 out of 5 stars","C","7.5"
"13","Will Reichard",MIN,"at LAC","3 out of 5 stars","C","7.3"
"14","Ka'imi Fairbairn",HOU,"vs. SF","1 out of 5 stars","C","7.2"
"15","Jake Elliott",PHI,"vs. NYG","3 out of 5 stars","C","7.1"
"16","Lucas Havrisik",GB,"at PIT","4 out of 5 stars","C-","7.1"
"17","Andy Borregales",NE,"vs. CLE","2 out of 5 stars","C-","7.0"
"18","Jake Moody",CHI,"at BAL","4 out of 5 stars","C-","7.0"
"19","Blake Grupe",NO,"vs. TB","3 out of 5 stars","C-","7.0"
"20","Matt Gay",WAS,"at KC","1 out of 5 stars","D+","6.8"
"21","Nick Folk",NYJ,"at CIN","3 out of 5 stars","D+","6.5"
""
"22","Ryan Fitzgerald",CAR,"vs. BUF","2 out of 5 stars","D+","6.4"
"23","Riley Patterson",MIA,"at ATL","4 out of 5 stars","D","6.4"
"24","Joey Slye",TEN,"at IND","1 out of 5 stars","D","6.2"
"25","Andre Szmyt",CLE,"at NE","3 out of 5 stars","D","6.1"
"26","Graham Gano",NYG,"at PHI","5 out of 5 stars","D-","5.8"
"27","Brandon McManus",GB,"at PIT","4 out of 5 stars","D-","1.6"
"28","Cairo Santos",CHI,"at BAL","4 out of 5 stars","D-","0.0"
"29","Younghoe Koo",NYG,"at PHI","5 out of 5 stars","F","0.0"
"30","Jude McAtamney",NYG,"at PHI","5 out of 5 stars","F","0.0"
