"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"22","Josh Allen",BUF,"QB1","3 out of 5 stars","2 out of 5 stars","-2"
"23","Patrick Mahomes II",KC,"QB2","2 out of 5 stars","1 out of 5 stars","+26"
"24","Rashee Rice",KC,"WR10","2 out of 5 stars","2 out of 5 stars","+47"
"25","Brock Bowers",LV,"TE1","3 out of 5 stars","1 out of 5 stars","-6"
"26","Emeka Egbuka",TB,"WR11","4 out of 5 stars","4 out of 5 stars","+56"
"27","George Pickens",DAL,"WR12","3 out of 5 stars","3 out of 5 stars","+41"
"28","A.J. Brown",PHI,"WR13","4 out of 5 stars","3 out of 5 stars","-7"
"29","Garrett Wilson",NYJ,"WR14","5 out of 5 stars","4 out of 5 stars","+12"
"30","Lamar Jackson",BAL,"QB3","4 out of 5 stars","4 out of 5 stars","-7"
"31","Trey McBride",ARI,"TE2","2 out of 5 stars","1 out of 5 stars","-4"
"32","Courtland Sutton",DEN,"WR15","2 out of 5 stars","2 out of 5 stars","+19"
"33","Jalen Hurts",PHI,"QB4","4 out of 5 stars","3 out of 5 stars","+1"
"34","Javonte Williams",DAL,"RB13","3 out of 5 stars","3 out of 5 stars","+73"
"35","Breece Hall",NYJ,"RB14","2 out of 5 stars","2 out of 5 stars","+3"
"36","Ladd McConkey",LAC,"WR16","2 out of 5 stars","3 out of 5 stars","-10"
"37","Chase Brown",CIN,"RB15","4 out of 5 stars","4 out of 5 stars","-15"
"38","Tee Higgins",CIN,"WR17","4 out of 5 stars","4 out of 5 stars","-8"
"39","Tetairoa McMillan",CAR,"WR18","4 out of 5 stars","3 out of 5 stars","+17"
"40","Jaylen Waddle",MIA,"WR19","3 out of 5 stars","2 out of 5 stars","+32"
"41","DK Metcalf",PIT,"WR20","4 out of 5 stars","5 out of 5 stars","+7"
"42","Rome Odunze",CHI,"WR21","2 out of 5 stars","4 out of 5 stars","+35"
"43","Brian Thomas Jr.",JAC,"WR22","2 out of 5 stars","2 out of 5 stars","-28"
"44","Michael Pittman Jr.",IND,"WR23","2 out of 5 stars","2 out of 5 stars","+64"
"45","Travis Etienne Jr.",JAC,"RB16","3 out of 5 stars","3 out of 5 stars","+47"
"46","DeVonta Smith",PHI,"WR24","4 out of 5 stars","3 out of 5 stars","+9"
"47","Stefon Diggs",NE,"WR25","3 out of 5 stars","4 out of 5 stars","+39"
"48","Zay Flowers",BAL,"WR26","3 out of 5 stars","4 out of 5 stars","+13"
"49","Drake Maye",NE,"QB5","3 out of 5 stars","3 out of 5 stars","+74"
"50","Tyler Warren",IND,"TE3","2 out of 5 stars","3 out of 5 stars","+37"
"51","Kenneth Walker III",SEA,"RB17","2 out of 5 stars","2 out of 5 stars","-8"
"52","D'Andre Swift",CHI,"RB18","3 out of 5 stars","3 out of 5 stars","+2"
"53","Dak Prescott",DAL,"QB6","3 out of 5 stars","4 out of 5 stars","+41"
"54","Justin Herbert",LAC,"QB7","2 out of 5 stars","3 out of 5 stars","+56"
"55","Xavier Worthy",KC,"WR27","2 out of 5 stars","2 out of 5 stars","-2"
"56","Marvin Harrison Jr.",ARI,"WR28","3 out of 5 stars","3 out of 5 stars","-12"
"57","Ricky Pearsall",SF,"WR29","3 out of 5 stars","4 out of 5 stars","+28"
"58","Chris Olave",NO,"WR30","3 out of 5 stars","3 out of 5 stars","+20"
"59","DJ Moore",CHI,"WR31","2 out of 5 stars","4 out of 5 stars","-9"
"60","Keenan Allen",LAC,"WR32","2 out of 5 stars","3 out of 5 stars","+86"
"61","Terry McLaurin",WAS,"WR33","3 out of 5 stars","3 out of 5 stars","-22"
"62","David Montgomery",DET,"RB19","3 out of 5 stars","2 out of 5 stars","-4"
"63","George Kittle",SF,"TE4","3 out of 5 stars","3 out of 5 stars","-26"
"64","Deebo Samuel Sr.",WAS,"WR34","3 out of 5 stars","3 out of 5 stars","+15"
"65","J.K. Dobbins",DEN,"RB20","2 out of 5 stars","2 out of 5 stars","+33"
"66","Daniel Jones",IND,"QB8","2 out of 5 stars","3 out of 5 stars","+195"
"67","Jaylen Warren",PIT,"RB21","3 out of 5 stars","2 out of 5 stars","+17"
"68","Jordan Addison",MIN,"WR35","5 out of 5 stars","4 out of 5 stars","+23"
"69","Omarion Hampton",LAC,"RB22","3 out of 5 stars","4 out of 5 stars","-34"
"70","Jameson Williams",DET,"WR36","3 out of 5 stars","2 out of 5 stars","-13"
"71","Alvin Kamara",NO,"RB23","5 out of 5 stars","4 out of 5 stars","-35"
"72","Baker Mayfield",TB,"QB9","4 out of 5 stars","4 out of 5 stars","-10"
"73","Jake Ferguson",DAL,"TE5","3 out of 5 stars","4 out of 5 stars","+63"
"74","Quinshon Judkins",CLE,"RB24","5 out of 5 stars","4 out of 5 stars","+44"
"75","Jacory Croskey-Merritt",WAS,"RB25","4 out of 5 stars","4 out of 5 stars","+21"
"76","Khalil Shakir",BUF,"WR37","3 out of 5 stars","4 out of 5 stars","+25"
"77","Jaxson Dart",NYG,"QB10","5 out of 5 stars","4 out of 5 stars","+167"
"78","Jauan Jennings",SF,"WR38","3 out of 5 stars","4 out of 5 stars","+26"
"79","Tony Pollard",TEN,"RB26","3 out of 5 stars","4 out of 5 stars","-13"
"80","Sam LaPorta",DET,"TE6","3 out of 5 stars","2 out of 5 stars","-28"
"81","Travis Kelce",KC,"TE7","4 out of 5 stars","3 out of 5 stars","-18"
"82","Bo Nix",DEN,"QB11","2 out of 5 stars","2 out of 5 stars","-12"
"83","Wan'Dale Robinson",NYG,"WR39","4 out of 5 stars","3 out of 5 stars","+100"
"84","Quentin Johnston",LAC,"WR40","2 out of 5 stars","3 out of 5 stars","+138"
"85","Matthew Stafford",LAR,"QB12","2 out of 5 stars","3 out of 5 stars","+94"
"86","TreVeyon Henderson",NE,"RB27","5 out of 5 stars","5 out of 5 stars","-41"
"87","Jakobi Meyers",LV,"WR41","2 out of 5 stars","1 out of 5 stars","+1"
"88","Romeo Doubs",GB,"WR42","3 out of 5 stars","4 out of 5 stars","+104"
"89","Josh Downs",IND,"WR43","2 out of 5 stars","2 out of 5 stars","+32"
"90","Rico Dowdle",CAR,"RB28","3 out of 5 stars","3 out of 5 stars","+115"
"91","RJ Harvey",DEN,"RB29","2 out of 5 stars","2 out of 5 stars","-32"
"92","Jerry Jeudy",CLE,"WR44","3 out of 5 stars","3 out of 5 stars","-18"
"93","Jordan Mason",MIN,"RB30","3 out of 5 stars","3 out of 5 stars","+2"
"94","Aaron Jones Sr.",MIN,"RB31","3 out of 5 stars","3 out of 5 stars","-27"
"95","Rashid Shaheed",NO,"WR45","3 out of 5 stars","3 out of 5 stars","+47"
"96","Jared Goff",DET,"QB13","4 out of 5 stars","4 out of 5 stars","+4"
"97","Isiah Pacheco",KC,"RB32","3 out of 5 stars","3 out of 5 stars","-37"
"98","Dallas Goedert",PHI,"TE8","4 out of 5 stars","4 out of 5 stars","+42"
"99","Dalton Kincaid",BUF,"TE9","3 out of 5 stars","2 out of 5 stars","+26"
"100","Caleb Williams",CHI,"QB14","2 out of 5 stars","2 out of 5 stars","+19"
"101","T.J. Hockenson",MIN,"TE10","4 out of 5 stars","3 out of 5 stars","-37"
"102","Jordan Love",GB,"QB15","4 out of 5 stars","4 out of 5 stars","+31"
"103","Calvin Ridley",TEN,"WR46","3 out of 5 stars","3 out of 5 stars","-38"
"104","Darnell Mooney",ATL,"WR47","3 out of 5 stars","2 out of 5 stars","+33"
"105","Matthew Golden",GB,"WR48","3 out of 5 stars","4 out of 5 stars","-16"
"106","Sam Darnold",SEA,"QB16","4 out of 5 stars","3 out of 5 stars","+106"
"107","Rhamondre Stevenson",NE,"RB33","5 out of 5 stars","5 out of 5 stars","+4"
"108","Chuba Hubbard",CAR,"RB34","3 out of 5 stars","3 out of 5 stars","-62"
"109","Joe Flacco",CIN,"QB17","4 out of 5 stars","4 out of 5 stars","+130"
"110","Cooper Kupp",SEA,"WR49","3 out of 5 stars","3 out of 5 stars","-20"
"111","Keon Coleman",BUF,"WR50","3 out of 5 stars","4 out of 5 stars","+5"
"112","Zach Charbonnet",SEA,"RB35","2 out of 5 stars","2 out of 5 stars","-7"
"113","Kyle Pitts Sr.",ATL,"TE11","4 out of 5 stars","3 out of 5 stars","+19"
"114","Brock Purdy",SF,"QB18","3 out of 5 stars","5 out of 5 stars","-21"
"115","Hunter Henry",NE,"TE12","4 out of 5 stars","4 out of 5 stars","+45"
"116","Chris Godwin Jr.",TB,"WR51","4 out of 5 stars","4 out of 5 stars","-14"
"117","Harold Fannin Jr.",CLE,"TE13","3 out of 5 stars","3 out of 5 stars","+142"
"118","Kayshon Boutte",NE,"WR52","3 out of 5 stars","4 out of 5 stars","+171"
"119","Tyrone Tracy Jr.",NYG,"RB36","2 out of 5 stars","3 out of 5 stars","-44"
"120","David Njoku",CLE,"TE14","3 out of 5 stars","3 out of 5 stars","-40"
"121","Justin Fields",NYJ,"QB19","4 out of 5 stars","4 out of 5 stars","-7"
"122","Troy Franklin",DEN,"WR53","2 out of 5 stars","2 out of 5 stars","+151"
"123","Travis Hunter",JAC,"WR54","2 out of 5 stars","2 out of 5 stars","-54"
"124","Trevor Lawrence",JAC,"QB20","1 out of 5 stars","2 out of 5 stars","+34"
"125","Zach Ertz",WAS,"TE15","2 out of 5 stars","2 out of 5 stars","+28"
"126","Mark Andrews",BAL,"TE16","3 out of 5 stars","3 out of 5 stars","-53"
"127","Kyler Murray",ARI,"QB21","3 out of 5 stars","3 out of 5 stars","-44"
"128","Alec Pierce",IND,"WR55","2 out of 5 stars","2 out of 5 stars","+119"
"129","C.J. Stroud",HOU,"QB22","1 out of 5 stars","1 out of 5 stars","-2"
"130","Aaron Rodgers",PIT,"QB23","4 out of 5 stars","3 out of 5 stars","+81"
"131","Jayden Daniels",WAS,"QB24","4 out of 5 stars","4 out of 5 stars","-102"
"132","Michael Penix Jr.",ATL,"QB25","2 out of 5 stars","2 out of 5 stars","+49"
"133","Mason Taylor",NYJ,"TE17","3 out of 5 stars","4 out of 5 stars","+108"
"134","Trey Benson",ARI,"RB37","3 out of 5 stars","4 out of 5 stars","+20"
"135","Elic Ayomanor",TEN,"WR56","3 out of 5 stars","3 out of 5 stars","+118"
"136","Christian Kirk",HOU,"WR57","2 out of 5 stars","2 out of 5 stars","+13"
"137","Evan Engram",DEN,"TE18","3 out of 5 stars","3 out of 5 stars","-56"
"138","Jalen Coker",CAR,"WR58","4 out of 5 stars","3 out of 5 stars","+122"
"139","Woody Marks",HOU,"RB38","3 out of 5 stars","3 out of 5 stars","+98"
"140","Jayden Higgins",HOU,"WR59","2 out of 5 stars","2 out of 5 stars","+10"
"141","Rachaad White",TB,"RB39","3 out of 5 stars","4 out of 5 stars","+2"
"142","Colston Loveland",CHI,"TE19","2 out of 5 stars","2 out of 5 stars","-29"
"143","Kimani Vidal",LAC,"RB40","3 out of 5 stars","4 out of 5 stars","+570"
"144","Nick Chubb",HOU,"RB41","3 out of 5 stars","3 out of 5 stars","-22"
"145","Juwan Johnson",NO,"TE20","3 out of 5 stars","3 out of 5 stars","+153"
"146","Luther Burden III",CHI,"WR60","2 out of 5 stars","4 out of 5 stars","+29"
"147","Brandon Aiyuk",SF,"WR61","3 out of 5 stars","4 out of 5 stars","0"
"148","Kyle Monangai",CHI,"RB42","3 out of 5 stars","3 out of 5 stars","+108"
"149","Rashod Bateman",BAL,"WR62","3 out of 5 stars","4 out of 5 stars","+21"
"150","Theo Johnson",NYG,"TE21","3 out of 5 stars","3 out of 5 stars","+149"
"151","Marquise Brown",KC,"WR63","2 out of 5 stars","2 out of 5 stars","+15"
"152","Tyjae Spears",TEN,"RB43","3 out of 5 stars","4 out of 5 stars","+28"
"153","Marvin Mims Jr.",DEN,"WR64","2 out of 5 stars","2 out of 5 stars","-2"
"154","Houston Texans",HOU,"DST1","4 out of 5 stars","5 out of 5 stars","-16"
"155","Denver Broncos",DEN,"DST2","3 out of 5 stars","1 out of 5 stars","-56"
"156","J.J. McCarthy",MIN,"QB26","5 out of 5 stars","4 out of 5 stars","-11"
"157","Tre Tucker",LV,"WR65","2 out of 5 stars","1 out of 5 stars","+201"
"158","Darius Slayton",NYG,"WR66","4 out of 5 stars","3 out of 5 stars","+111"
"159","Seattle Seahawks",SEA,"DST3","4 out of 5 stars","2 out of 5 stars","+28"
"160","Bhayshul Tuten",JAC,"RB44","3 out of 5 stars","3 out of 5 stars","-12"
"161","Christian Watson",GB,"WR67","3 out of 5 stars","4 out of 5 stars","+175"
"162","Tyler Allgeier",ATL,"RB45","3 out of 5 stars","2 out of 5 stars","+3"
"163","Oronde Gadsden II",LAC,"TE22","3 out of 5 stars","3 out of 5 stars","+227"
"164","Jonnu Smith",PIT,"TE23","4 out of 5 stars","3 out of 5 stars","-12"
"165","Cade Otton",TB,"TE24","2 out of 5 stars","2 out of 5 stars","+50"
"166","Brian Robinson Jr.",SF,"RB46","2 out of 5 stars","3 out of 5 stars","-46"
"167","Mike Evans",TB,"WR68","4 out of 5 stars","4 out of 5 stars","-127"
"168","DeMario Douglas",NE,"WR69","3 out of 5 stars","4 out of 5 stars","+27"
"169","Kendrick Bourne",SF,"WR70","3 out of 5 stars","4 out of 5 stars","+521"
"170","New England Patriots",NE,"DST4","4 out of 5 stars","2 out of 5 stars","+44"
"171","Dalton Schultz",HOU,"TE25","4 out of 5 stars","4 out of 5 stars","+58"
"172","Jayden Reed",GB,"WR71","3 out of 5 stars","4 out of 5 stars","-48"
"173","Brandon Aubrey",DAL,"K1","3 out of 5 stars","3 out of 5 stars","-70"
"174","Tory Horton",SEA,"WR72","3 out of 5 stars","3 out of 5 stars","+81"
"175","Brenton Strange",JAC,"TE26","4 out of 5 stars","4 out of 5 stars","+14"
"176","Chig Okonkwo",TEN,"TE27","3 out of 5 stars","3 out of 5 stars","+54"
"177","Blake Corum",LAR,"RB47","3 out of 5 stars","2 out of 5 stars","+58"
"178","Pittsburgh Steelers",PIT,"DST5","3 out of 5 stars","4 out of 5 stars","-49"
"179","Xavier Legette",CAR,"WR73","4 out of 5 stars","3 out of 5 stars","-3"
"180","Pat Freiermuth",PIT,"TE28","4 out of 5 stars","3 out of 5 stars","+30"
"181","Detroit Lions",DET,"DST6","1 out of 5 stars","2 out of 5 stars","-17"
"182","Joshua Palmer",BUF,"WR74","3 out of 5 stars","4 out of 5 stars","+49"
"183","Zonovan Knight",ARI,"RB48","3 out of 5 stars","4 out of 5 stars","+630"
"184","Kenneth Gainwell",PIT,"RB49","3 out of 5 stars","2 out of 5 stars","+141"
"185","Dylan Sampson",CLE,"RB50","5 out of 5 stars","4 out of 5 stars","-17"
"186","Cameron Dicker",LAC,"K2","3 out of 5 stars","1 out of 5 stars","-58"
"187","Cedric Tillman",CLE,"WR75","3 out of 5 stars","3 out of 5 stars","+3"
"188","Ka'imi Fairbairn",HOU,"K3","2 out of 5 stars","4 out of 5 stars","-21"
"189","Isaac TeSlaa",DET,"WR76","3 out of 5 stars","2 out of 5 stars","+27"
"190","Ollie Gordon II",MIA,"RB51","4 out of 5 stars","4 out of 5 stars","-31"
"191","Jaylin Noel",HOU,"WR77","2 out of 5 stars","2 out of 5 stars","+67"
"192","Los Angeles Rams",LAR,"DST7","2 out of 5 stars","2 out of 5 stars","+10"
"193","Geno Smith",LV,"QB27","1 out of 5 stars","1 out of 5 stars","-2"
"194","Dyami Brown",JAC,"WR78","2 out of 5 stars","2 out of 5 stars","+82"
"195","Indianapolis Colts",IND,"DST8","1 out of 5 stars","2 out of 5 stars","+67"
"196","Chase McLaughlin",TB,"K4","3 out of 5 stars","4 out of 5 stars","-52"
"197","Ray Davis",BUF,"RB52","4 out of 5 stars","2 out of 5 stars","-25"
"198","Buffalo Bills",BUF,"DST9","3 out of 5 stars","4 out of 5 stars","-64"
"199","Darren Waller",MIA,"TE29","4 out of 5 stars","4 out of 5 stars","-6"
"200","Brashard Smith",KC,"RB53","3 out of 5 stars","3 out of 5 stars","+67"
"201","Cleveland Browns",CLE,"DST10","3 out of 5 stars","1 out of 5 stars","+44"
"202","Tua Tagovailoa",MIA,"QB28","3 out of 5 stars","3 out of 5 stars","-28"
"203","Jake Bates",DET,"K5","4 out of 5 stars","3 out of 5 stars","-77"
"204","Isaiah Likely",BAL,"TE30","3 out of 5 stars","3 out of 5 stars","-18"
"205","Chimere Dike",TEN,"WR79","3 out of 5 stars","3 out of 5 stars","+513"
"206","Kaleb Johnson",PIT,"RB54","3 out of 5 stars","2 out of 5 stars","-130"
"207","AJ Barner",SEA,"TE31","2 out of 5 stars","4 out of 5 stars","+197"
"208","Isaiah Davis",NYJ,"RB55","2 out of 5 stars","2 out of 5 stars","+469"
"209","Jerome Ford",CLE,"RB56","5 out of 5 stars","4 out of 5 stars","-53"
"210","Philadelphia Eagles",PHI,"DST11","1 out of 5 stars","3 out of 5 stars","-98"
"211","Tampa Bay Buccaneers",TB,"DST12","5 out of 5 stars","5 out of 5 stars","-3"
"212","Calvin Austin III",PIT,"WR80","4 out of 5 stars","5 out of 5 stars","+52"
"213","Minnesota Vikings",MIN,"DST13","0 out of 5 stars","1 out of 5 stars","-72"
"214","Kareem Hunt",KC,"RB57","3 out of 5 stars","3 out of 5 stars","-18"
"215","Elijah Arroyo",SEA,"TE32","2 out of 5 stars","4 out of 5 stars","+31"
"216","Tyler Loop",BAL,"K6","4 out of 5 stars","3 out of 5 stars","-32"
"217","Tank Bigsby",PHI,"RB58","3 out of 5 stars","3 out of 5 stars","-86"
"218","Jeremy McNichols",WAS,"RB59","4 out of 5 stars","4 out of 5 stars","+234"
"219","Malik Washington",MIA,"WR81","3 out of 5 stars","2 out of 5 stars","+108"
"220","DeAndre Hopkins",BAL,"WR82","3 out of 5 stars","4 out of 5 stars","+14"
"221","Green Bay Packers",GB,"DST14","1 out of 5 stars","1 out of 5 stars","-64"
"222","Tez Johnson",TB,"WR83","4 out of 5 stars","4 out of 5 stars","+118"
"223","Jaydon Blue",DAL,"RB60","3 out of 5 stars","3 out of 5 stars","-84"
"224","Kansas City Chiefs",KC,"DST15","1 out of 5 stars","4 out of 5 stars","-51"
"225","Tre Harris",LAC,"WR84","2 out of 5 stars","3 out of 5 stars","0"
"226","Chris Rodriguez Jr.",WAS,"RB61","4 out of 5 stars","4 out of 5 stars","+68"
"227","Jack Bech",LV,"WR85","2 out of 5 stars","1 out of 5 stars","+16"
"228","Harrison Butker",KC,"K7","3 out of 5 stars","4 out of 5 stars","-59"
"229","Dontayvion Wicks",GB,"WR86","3 out of 5 stars","4 out of 5 stars","+57"
"230","Cole Kmet",CHI,"TE33","2 out of 5 stars","2 out of 5 stars","+27"
"231","Jacksonville Jaguars",JAC,"DST16","3 out of 5 stars","2 out of 5 stars","+81"
"232","Chris Boswell",PIT,"K8","3 out of 5 stars","3 out of 5 stars","-77"
"233","Wil Lutz",DEN,"K9","2 out of 5 stars","1 out of 5 stars","-48"
"234","Mike Gesicki",CIN,"TE34","4 out of 5 stars","4 out of 5 stars","-8"
"235","Adam Thielen",MIN,"WR87","5 out of 5 stars","4 out of 5 stars","-64"
"236","Ja'Tavion Sanders",CAR,"TE35","2 out of 5 stars","4 out of 5 stars","+6"
"237","Dont'e Thornton Jr.",LV,"WR88","2 out of 5 stars","1 out of 5 stars","-19"
"238","Tyquan Thornton",KC,"WR89","2 out of 5 stars","2 out of 5 stars","+159"
"239","Los Angeles Chargers",LAC,"DST17","1 out of 5 stars","1 out of 5 stars","-40"
"240","Olamide Zaccheaus",CHI,"WR90","2 out of 5 stars","4 out of 5 stars","+102"
"241","Michael Wilson",ARI,"WR91","3 out of 5 stars","3 out of 5 stars","+29"
"242","Bryce Young",CAR,"QB29","3 out of 5 stars","2 out of 5 stars","-60"
"243","Noah Fant",CIN,"TE36","4 out of 5 stars","4 out of 5 stars","+80"
"244","Justice Hill",BAL,"RB62","3 out of 5 stars","2 out of 5 stars","-6"
"245","Parker Washington",JAC,"WR92","2 out of 5 stars","2 out of 5 stars","+170"
"246","Tyler Higbee",LAR,"TE37","3 out of 5 stars","2 out of 5 stars","+65"
"247","Isaiah Bond",CLE,"WR93","3 out of 5 stars","3 out of 5 stars","+282"
"248","Cam Little",JAC,"K10","3 out of 5 stars","4 out of 5 stars","-70"
"249","Hassan Haskins",LAC,"RB63","3 out of 5 stars","4 out of 5 stars","+369"
"250","Matt Gay",WAS,"K11","4 out of 5 stars","5 out of 5 stars","-44"
"251","Jake Elliott",PHI,"K12","3 out of 5 stars","3 out of 5 stars","-89"
"252","Joe Mixon",HOU,"RB64","3 out of 5 stars","3 out of 5 stars","-137"
"253","KaVontae Turpin",DAL,"WR94","3 out of 5 stars","3 out of 5 stars","+98"
"254","Will Reichard",MIN,"K13","3 out of 5 stars","3 out of 5 stars","-33"
"255","Andrei Iosivas",CIN,"WR95","4 out of 5 stars","4 out of 5 stars","+38"
"256","Braelon Allen",NYJ,"RB65","2 out of 5 stars","2 out of 5 stars","-121"
"257","Sterling Shepard",TB,"WR96","4 out of 5 stars","4 out of 5 stars","+193"
"258","DJ Giddens",IND,"RB66","2 out of 5 stars","2 out of 5 stars","-6"
"259","Will Shipley",PHI,"RB67","3 out of 5 stars","3 out of 5 stars","-58"
"260","Pat Bryant",DEN,"WR97","2 out of 5 stars","2 out of 5 stars","+14"
"261","Keaton Mitchell",BAL,"RB68","3 out of 5 stars","2 out of 5 stars","-10"
"262","Roman Wilson",PIT,"WR98","4 out of 5 stars","5 out of 5 stars","+20"
"263","Cam Ward",TEN,"QB30","2 out of 5 stars","3 out of 5 stars","-86"
"264","Jalen Nailor",MIN,"WR99","5 out of 5 stars","4 out of 5 stars","+116"
"265","JuJu Smith-Schuster",KC,"WR100","2 out of 5 stars","2 out of 5 stars","+51"
"266","Kyle Williams",NE,"WR101","3 out of 5 stars","4 out of 5 stars","-34"
"267","Adonai Mitchell",IND,"WR102","2 out of 5 stars","2 out of 5 stars","+39"
"268","Jaylin Lane",WAS,"WR103","3 out of 5 stars","3 out of 5 stars","+231"
"269","Eddy Pineiro",SF,"K14","3 out of 5 stars","2 out of 5 stars","+180"
"270","Tutu Atwell",LAR,"WR104","3 out of 5 stars","4 out of 5 stars","+50"
"271","Michael Mayer",LV,"TE38","3 out of 5 stars","1 out of 5 stars","+64"
"272","Sean Tucker",TB,"RB69","3 out of 5 stars","4 out of 5 stars","+33"
"273","Hunter Renfrow",CAR,"WR105","4 out of 5 stars","3 out of 5 stars","+70"
"274","Taysom Hill",NO,"TE39","3 out of 5 stars","3 out of 5 stars","+17"
"275","Atlanta Falcons",ATL,"DST18","3 out of 5 stars","2 out of 5 stars","+3"
"276","Marcus Mariota",WAS,"QB31","4 out of 5 stars","4 out of 5 stars","+232"
"277","Evan McPherson",CIN,"K15","4 out of 5 stars","4 out of 5 stars","-83"
"278","Gunnar Helm",TEN,"TE40","3 out of 5 stars","3 out of 5 stars","+168"
"279","Chicago Bears",CHI,"DST19","3 out of 5 stars","3 out of 5 stars","-66"
"280","Nick Westbrook-Ikhine",MIA,"WR106","3 out of 5 stars","2 out of 5 stars","+85"
"281","Jason Myers",SEA,"K16","3 out of 5 stars","2 out of 5 stars","+50"
"282","Brandon McManus",GB,"K17","4 out of 5 stars","4 out of 5 stars","-63"
"283","Joe Burrow",CIN,"QB32","4 out of 5 stars","4 out of 5 stars","-251"
"284","Ty Johnson",BUF,"RB70","4 out of 5 stars","2 out of 5 stars","+29"
"285","Samaje Perine",CIN,"RB71","4 out of 5 stars","4 out of 5 stars","+135"
"286","Tyler Shough",NO,"QB33","3 out of 5 stars","3 out of 5 stars","+33"
"287","Xavier Hutchinson",HOU,"WR107","2 out of 5 stars","2 out of 5 stars","+381"
"288","Tyler Lockett",LV,"WR108","2 out of 5 stars","1 out of 5 stars","-4"
"289","Devin Singletary",NYG,"RB72","2 out of 5 stars","3 out of 5 stars","+1"
"290","Jordan Whittington",LAR,"WR109","3 out of 5 stars","4 out of 5 stars","+82"
"291","Tahj Brooks",CIN,"RB73","4 out of 5 stars","4 out of 5 stars","-58"
"292","Raheem Mostert",LV,"RB74","3 out of 5 stars","5 out of 5 stars","-72"
"293","Devin Neal",NO,"RB75","5 out of 5 stars","4 out of 5 stars","+56"
"294","Jalen Royals",KC,"WR110","2 out of 5 stars","2 out of 5 stars","+1"
"295","Luke Musgrave",GB,"TE41","2 out of 5 stars","3 out of 5 stars","+42"
"296","Tyler Bass",BUF,"K18","3 out of 5 stars","3 out of 5 stars","-133"
"297","LeQuint Allen Jr.",JAC,"RB76","3 out of 5 stars","3 out of 5 stars","+523"
"298","Dameon Pierce",HOU,"RB77","3 out of 5 stars","3 out of 5 stars","-2"
"299","Jalen Tolbert",DAL,"WR111","3 out of 5 stars","3 out of 5 stars","+53"
"300","Mac Jones",SF,"QB34","3 out of 5 stars","5 out of 5 stars","+95"
"301","Emanuel Wilson",GB,"RB78","4 out of 5 stars","4 out of 5 stars","+21"
"302","Carolina Panthers",CAR,"DST20","2 out of 5 stars","2 out of 5 stars","+15"
"303","Brandin Cooks",NO,"WR112","3 out of 5 stars","3 out of 5 stars","+71"
"304","Devaughn Vele",NO,"WR113","3 out of 5 stars","3 out of 5 stars","+81"
"305","Tennessee Titans",TEN,"DST21","3 out of 5 stars","3 out of 5 stars","-22"
"306","Tyler Badie",DEN,"RB79","2 out of 5 stars","2 out of 5 stars","+216"
"307","Hunter Long",JAC,"TE42","4 out of 5 stars","4 out of 5 stars","+490"
"308","Jarquez Hunter",LAR,"RB80","3 out of 5 stars","2 out of 5 stars","-27"
"309","Josh Reynolds",NYJ,"WR114","5 out of 5 stars","4 out of 5 stars","+166"
"310","Isaac Guerendo",SF,"RB81","2 out of 5 stars","3 out of 5 stars","-101"
"311","Michael Badgley",IND,"K19","0 out of 5 stars","0 out of 5 stars","+206"
