"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Bijan Robinson",ATL,"RB1","3 out of 5 stars","2 out of 5 stars","+1"
"2","Ja'Marr Chase",CIN,"WR1","4 out of 5 stars","4 out of 5 stars","-1"
"3","Christian McCaffrey",SF,"RB2","2 out of 5 stars","3 out of 5 stars","+4"
"4","Jahmyr Gibbs",DET,"RB3","3 out of 5 stars","2 out of 5 stars","0"
"5","Puka Nacua",LAR,"WR2","3 out of 5 stars","4 out of 5 stars","+7"
"6","Jonathan Taylor",IND,"RB4","2 out of 5 stars","2 out of 5 stars","+12"
"7","CeeDee Lamb",DAL,"WR3","3 out of 5 stars","3 out of 5 stars","-2"
"8","Jaxon Smith-Njigba",SEA,"WR4","3 out of 5 stars","3 out of 5 stars","+25"
"9","Amon-Ra St. Brown",DET,"WR5","3 out of 5 stars","2 out of 5 stars","0"
"10","Justin Jefferson",MIN,"WR6","5 out of 5 stars","4 out of 5 stars","-4"
"11","De'Von Achane",MIA,"RB5","4 out of 5 stars","4 out of 5 stars","+3"
"12","Drake London",ATL,"WR7","3 out of 5 stars","2 out of 5 stars","+5"
"13","Josh Jacobs",GB,"RB6","4 out of 5 stars","4 out of 5 stars","+3"
"14","James Cook III",BUF,"RB7","4 out of 5 stars","2 out of 5 stars","+14"
"15","Derrick Henry",BAL,"RB8","3 out of 5 stars","2 out of 5 stars","-5"
"16","Ashton Jeanty",LV,"RB9","3 out of 5 stars","5 out of 5 stars","-5"
"17","Saquon Barkley",PHI,"RB10","3 out of 5 stars","3 out of 5 stars","-14"
"18","Nico Collins",HOU,"WR8","2 out of 5 stars","2 out of 5 stars","-5"
"19","Kyren Williams",LAR,"RB11","3 out of 5 stars","2 out of 5 stars","+6"
"20","Davante Adams",LAR,"WR9","3 out of 5 stars","4 out of 5 stars","+22"
"21","Bucky Irving",TB,"RB12","3 out of 5 stars","4 out of 5 stars","+3"
