"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Cameron Dicker",LAC,"vs. PIT","4 out of 5 stars","A","8.6"
"2","Chris Boswell",PIT,"at LAC","3 out of 5 stars","B","8.5"
"3","Chase McLaughlin",TB,"vs. NE","2 out of 5 stars","B","8.3"
"4","Michael Badgley",IND,"vs. ATL","4 out of 5 stars","B-","8.3"
"5","Jake Bates",DET,"at WAS","3 out of 5 stars","C+","8.2"
"6","Eddy Pineiro",SF,"vs. LAR","3 out of 5 stars","C+","8.1"
"7","Ka'imi Fairbairn",HOU,"vs. JAC","1 out of 5 stars","C+","8.0"
"8","Tyler Loop",BAL,"at MIN","2 out of 5 stars","C","7.7"
"9","Cairo Santos",CHI,"vs. NYG","4 out of 5 stars","C+","7.5"
"10","Jason Myers",SEA,"vs. ARI","3 out of 5 stars","C","7.5"
"11","Matt Prater",BUF,"at MIA","4 out of 5 stars","C","7.5"
"12","Brandon McManus",GB,"vs. PHI","5 out of 5 stars","C","7.4"
"13","Wil Lutz",DEN,"vs. LV","4 out of 5 stars","C","7.3"
"14","Will Reichard",MIN,"vs. BAL","4 out of 5 stars","C","7.2"
"15","Cam Little",JAC,"at HOU","1 out of 5 stars","C","7.2"
"16","Andy Borregales",NE,"at TB","3 out of 5 stars","C","7.0"
"17","Jake Elliott",PHI,"at GB","3 out of 5 stars","C-","7.0"
"18","Joshua Karty",LAR,"at SF","2 out of 5 stars","C-","7.0"
"19","Parker Romo",ATL,"at IND","2 out of 5 stars","C-","6.9"
"20","Chad Ryland",ARI,"at SEA","1 out of 5 stars","D+","6.9"
"21","Matt Gay",WAS,"vs. DET","2 out of 5 stars","D","6.8"
""
"22","Nick Folk",NYJ,"vs. CLE","3 out of 5 stars","D","6.7"
"23","Ryan Fitzgerald",CAR,"vs. NO","3 out of 5 stars","D","6.7"
"24","Daniel Carlson",LV,"at DEN","4 out of 5 stars","D","6.5"
"25","Graham Gano",NYG,"at CHI","3 out of 5 stars","D","6.4"
"26","Riley Patterson",MIA,"vs. BUF","2 out of 5 stars","D","6.2"
"27","Blake Grupe",NO,"at CAR","3 out of 5 stars","D-","6.1"
"28","Andre Szmyt",CLE,"at NYJ","5 out of 5 stars","D-","4.7"
