"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Minnesota Vikings",MIN,"at CLE","5 out of 5 stars","A+","9.4"
"2","Detroit Lions",DET,"at CIN","5 out of 5 stars","A","9.0"
"3","Cleveland Browns",CLE,"vs. MIN","5 out of 5 stars","A-","8.4"
"4","Arizona Cardinals",ARI,"vs. TEN","5 out of 5 stars","A-","8.3"
"5","Philadelphia Eagles",PHI,"vs. DEN","2 out of 5 stars","B+","8.0"
"6","Seattle Seahawks",SEA,"vs. TB","1 out of 5 stars","B+","7.9"
"7","Buffalo Bills",BUF,"vs. NE","5 out of 5 stars","B","7.6"
"8","Baltimore Ravens",BAL,"vs. HOU","4 out of 5 stars","B","7.6"
"9","Indianapolis Colts",IND,"vs. LV","5 out of 5 stars","B","7.0"
"10","Los Angeles Rams",LAR,"vs. SF","4 out of 5 stars","B-","6.9"
"11","Kansas City Chiefs",KC,"at JAC","2 out of 5 stars","B-","6.8"
"12","Los Angeles Chargers",LAC,"vs. WAS","1 out of 5 stars","C","6.3"
"13","Houston Texans",HOU,"at BAL","1 out of 5 stars","C+","6.7"
"14","New Orleans Saints",NO,"vs. NYG","4 out of 5 stars","C+","6.2"
"15","New York Giants",NYG,"at NO","3 out of 5 stars","C","6.1"
"16","Denver Broncos",DEN,"at PHI","1 out of 5 stars","C","6.0"
"17","Tampa Bay Buccaneers",TB,"at SEA","1 out of 5 stars","C-","6.0"
"18","Miami Dolphins",MIA,"at CAR","5 out of 5 stars","D+","5.9"
"19","San Francisco 49ers",SF,"at LAR","1 out of 5 stars","D+","5.8"
"20","Jacksonville Jaguars",JAC,"vs. KC","1 out of 5 stars","D","5.7"
"21","Carolina Panthers",CAR,"vs. MIA","4 out of 5 stars","D","5.6"
"22","New York Jets",NYJ,"vs. DAL","1 out of 5 stars","D-","5.5"
"23","Washington Commanders",WAS,"at LAC","3 out of 5 stars","D-","5.4"
"24","Dallas Cowboys",DAL,"at NYJ","5 out of 5 stars","F","5.1"
"25","Tennessee Titans",TEN,"at ARI","4 out of 5 stars","F","5.1"
"26","Las Vegas Raiders",LV,"at IND","1 out of 5 stars","F","5.1"
"27","New England Patriots",NE,"at BUF","1 out of 5 stars","F","4.6"
"28","Cincinnati Bengals",CIN,"vs. DET","1 out of 5 stars","F","4.0"
