"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Los Angeles Rams",LAR,"at TEN","5 out of 5 stars","A+","9.1"
"2","Denver Broncos",DEN,"at IND","3 out of 5 stars","A+","9.0"
"3","Baltimore Ravens",BAL,"vs. CLE","5 out of 5 stars","A-","8.0"
"4","San Francisco 49ers",SF,"at NO","4 out of 5 stars","A-","8.0"
"5","Arizona Cardinals",ARI,"vs. CAR","4 out of 5 stars","B+","7.9"
"6","Pittsburgh Steelers",PIT,"vs. SEA","4 out of 5 stars","B+","7.8"
"7","Minnesota Vikings",MIN,"vs. ATL","3 out of 5 stars","B","7.4"
"8","Detroit Lions",DET,"vs. CHI","4 out of 5 stars","B","7.2"
"9","Dallas Cowboys",DAL,"vs. NYG","5 out of 5 stars","B-","7.2"
"10","Philadelphia Eagles",PHI,"at KC","1 out of 5 stars","B-","7.1"
"11","New England Patriots",NE,"at MIA","4 out of 5 stars","B-","7.1"
"12","Houston Texans",HOU,"vs. TB","2 out of 5 stars","C+","7.0"
"13","Green Bay Packers",GB,"vs. WAS","2 out of 5 stars","C+","6.9"
"14","Buffalo Bills",BUF,"at NYJ","3 out of 5 stars","C","6.9"
"15","Seattle Seahawks",SEA,"at PIT","3 out of 5 stars","C","6.8"
"16","Los Angeles Chargers",LAC,"at LV","5 out of 5 stars","C-","6.7"
"17","Tampa Bay Buccaneers",TB,"at HOU","4 out of 5 stars","C-","6.5"
"18","Cincinnati Bengals",CIN,"vs. JAC","4 out of 5 stars","D+","6.5"
"19","Washington Commanders",WAS,"at GB","1 out of 5 stars","D","6.3"
"20","Indianapolis Colts",IND,"vs. DEN","2 out of 5 stars","D","6.2"
"21","Chicago Bears",CHI,"at DET","1 out of 5 stars","D","6.1"
"22","Kansas City Chiefs",KC,"vs. PHI","2 out of 5 stars","D","6.0"
"23","New York Giants",NYG,"at DAL","4 out of 5 stars","D","5.8"
"24","Miami Dolphins",MIA,"vs. NE","5 out of 5 stars","D-","5.8"
"25","Atlanta Falcons",ATL,"at MIN","3 out of 5 stars","F","5.7"
"26","Tennessee Titans",TEN,"vs. LAR","2 out of 5 stars","F","5.6"
"27","New Orleans Saints",NO,"vs. SF","2 out of 5 stars","F","5.3"
"28","New York Jets",NYJ,"vs. BUF","1 out of 5 stars","F","5.0"
"29","Las Vegas Raiders",LV,"vs. LAC","2 out of 5 stars","F","4.9"
"30","Jacksonville Jaguars",JAC,"at CIN","3 out of 5 stars","F","4.9"
"31","Carolina Panthers",CAR,"at ARI","3 out of 5 stars","F","4.7"
"32","Cleveland Browns",CLE,"at BAL","1 out of 5 stars","F","4.7"
