"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Lamar Jackson",BAL,"QB1","at BUF","3 out of 5 stars"
"2","Josh Allen",BUF,"QB2","vs. BAL","3 out of 5 stars"
"3","Jalen Hurts",PHI,"QB3","vs. DAL","3 out of 5 stars"
"4","Jayden Daniels",WAS,"QB4","vs. NYG","4 out of 5 stars"
"5","Joe Burrow",CIN,"QB5","at CLE","4 out of 5 stars"
"6","Ja'Marr Chase",CIN,"WR1","at CLE","4 out of 5 stars"
"7","Baker Mayfield",TB,"QB6","at ATL","4 out of 5 stars"
"8","Bijan Robinson",ATL,"RB1","vs. TB","2 out of 5 stars"
"9","Christian McCaffrey",SF,"RB2","at SEA","3 out of 5 stars"
"10","Saquon Barkley",PHI,"RB3","vs. DAL","4 out of 5 stars"
"11","Patrick Mahomes II",KC,"QB7","at LAC","3 out of 5 stars"
"12","CeeDee Lamb",DAL,"WR2","at PHI","2 out of 5 stars"
"13","Kyler Murray",ARI,"QB8","at NO","2 out of 5 stars"
"14","Bo Nix",DEN,"QB9","vs. TEN","4 out of 5 stars"
"15","Jahmyr Gibbs",DET,"RB4","at GB","2 out of 5 stars"
"16","Justin Jefferson",MIN,"WR3","at CHI","3 out of 5 stars"
"17","Malik Nabers",NYG,"WR4","at WAS","2 out of 5 stars"
"18","Nico Collins",HOU,"WR5","at LAR","3 out of 5 stars"
"19","Drake Maye",NE,"QB10","vs. LV","3 out of 5 stars"
"20","Trevor Lawrence",JAC,"QB11","vs. CAR","5 out of 5 stars"
"21","Brian Thomas Jr.",JAC,"WR6","vs. CAR","3 out of 5 stars"
"22","Drake London",ATL,"WR7","vs. TB","2 out of 5 stars"
"23","Brock Purdy",SF,"QB12","at SEA","3 out of 5 stars"
"24","Puka Nacua",LAR,"WR8","vs. HOU","3 out of 5 stars"
"25","Amon-Ra St. Brown",DET,"WR9","at GB","3 out of 5 stars"
"26","Chase Brown",CIN,"RB5","at CLE","4 out of 5 stars"
"27","De'Von Achane",MIA,"RB6","at IND","3 out of 5 stars"
"28","Jordan Love",GB,"QB13","vs. DET","3 out of 5 stars"
"29","Jonathan Taylor",IND,"RB7","vs. MIA","4 out of 5 stars"
"30","Justin Fields",NYJ,"QB14","vs. PIT","2 out of 5 stars"
"31","Bucky Irving",TB,"RB8","at ATL","2 out of 5 stars"
"32","Dak Prescott",DAL,"QB15","at PHI","1 out of 5 stars"
"33","Jared Goff",DET,"QB16","at GB","3 out of 5 stars"
"34","Derrick Henry",BAL,"RB9","at BUF","4 out of 5 stars"
"35","Justin Herbert",LAC,"QB17","vs. KC","2 out of 5 stars"
"36","A.J. Brown",PHI,"WR10","vs. DAL","3 out of 5 stars"
"37","C.J. Stroud",HOU,"QB18","at LAR","2 out of 5 stars"
"38","Caleb Williams",CHI,"QB19","vs. MIN","2 out of 5 stars"
"39","Ashton Jeanty",LV,"RB10","at NE","4 out of 5 stars"
"40","Mike Evans",TB,"WR11","at ATL","4 out of 5 stars"
"41","J.J. McCarthy",MIN,"QB20","at CHI","2 out of 5 stars"
"42","Bryce Young",CAR,"QB21","at JAC","5 out of 5 stars"
"43","Josh Jacobs",GB,"RB11","vs. DET","3 out of 5 stars"
"44","Tua Tagovailoa",MIA,"QB22","at IND","4 out of 5 stars"
