"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Los Angeles Rams",LAR,"vs. NO","5 out of 5 stars","A+","10.2"
"2","Los Angeles Chargers",LAC,"at TEN","5 out of 5 stars","A","8.7"
"3","Detroit Lions",DET,"vs. MIN","5 out of 5 stars","A","8.5"
"4","Green Bay Packers",GB,"vs. CAR","5 out of 5 stars","A","8.0"
"5","Denver Broncos",DEN,"at HOU","3 out of 5 stars","A-","7.9"
"6","New England Patriots",NE,"vs. ATL","4 out of 5 stars","B+","7.7"
"7","Jacksonville Jaguars",JAC,"at LV","5 out of 5 stars","B+","6.9"
"8","Seattle Seahawks",SEA,"at WAS","4 out of 5 stars","B","6.7"
"9","Baltimore Ravens",BAL,"at MIA","4 out of 5 stars","B","6.6"
"10","Houston Texans",HOU,"vs. DEN","2 out of 5 stars","B","6.5"
"11","San Francisco 49ers",SF,"at NYG","4 out of 5 stars","B-","6.4"
"12","Chicago Bears",CHI,"at CIN","4 out of 5 stars","C+","6.4"
"13","Indianapolis Colts",IND,"at PIT","2 out of 5 stars","C+","6.2"
"14","Atlanta Falcons",ATL,"at NE","3 out of 5 stars","C","6.1"
"15","New York Giants",NYG,"vs. SF","3 out of 5 stars","C-","6.1"
"16","Washington Commanders",WAS,"vs. SEA","2 out of 5 stars","C","6.0"
"17","Cincinnati Bengals",CIN,"vs. CHI","2 out of 5 stars","D+","5.9"
"18","Buffalo Bills",BUF,"vs. KC","1 out of 5 stars","D","5.8"
"19","Minnesota Vikings",MIN,"at DET","1 out of 5 stars","D","5.8"
"20","Kansas City Chiefs",KC,"at BUF","1 out of 5 stars","D","5.7"
"21","Pittsburgh Steelers",PIT,"vs. IND","1 out of 5 stars","D","5.5"
"22","Las Vegas Raiders",LV,"vs. JAC","3 out of 5 stars","D-","5.5"
"23","Dallas Cowboys",DAL,"vs. ARI","4 out of 5 stars","D-","5.4"
"24","Tennessee Titans",TEN,"vs. LAC","4 out of 5 stars","F","5.1"
"25","Arizona Cardinals",ARI,"at DAL","1 out of 5 stars","F","5.0"
"26","Carolina Panthers",CAR,"at GB","1 out of 5 stars","F","5.0"
""
"27","New Orleans Saints",NO,"at LAR","1 out of 5 stars","F","4.7"
"28","Miami Dolphins",MIA,"vs. BAL","3 out of 5 stars","F","3.9"
